Identifier	Database
71609	Entrez Gene
22035	Entrez Gene
21937	Entrez Gene
21926	Entrez Gene
21938	Entrez Gene
22029	Entrez Gene
22030	Entrez Gene
26401	Entrez Gene
26398	Entrez Gene
26414	Entrez Gene
14082	Entrez Gene
19766	Entrez Gene
11796	Entrez Gene
11797	Entrez Gene
11798	Entrez Gene
12368	Entrez Gene
12369	Entrez Gene
12367	Entrez Gene
12366	Entrez Gene
12043	Entrez Gene
16151	Entrez Gene
14102	Entrez Gene
12048	Entrez Gene
14939	Entrez Gene
18646	Entrez Gene
14103	Entrez Gene
12018	Entrez Gene
12122	Entrez Gene
12028	Entrez Gene
17869	Entrez Gene
22059	Entrez Gene
17246	Entrez Gene
19697	Entrez Gene
18033	Entrez Gene
11783	Entrez Gene
12371	Entrez Gene
18035	Entrez Gene
16476	Entrez Gene
12125	Entrez Gene
12123	Entrez Gene
12177	Entrez Gene
13368	Entrez Gene
13347	Entrez Gene
15201	Entrez Gene
12015	Entrez Gene
12362	Entrez Gene
12363	Entrez Gene
12363	Entrez Gene
12370	Entrez Gene
22031	Entrez Gene
85030	Entrez Gene
16992	Entrez Gene
21933	Entrez Gene
94185	Entrez Gene
16150	Entrez Gene
12675	Entrez Gene
18036	Entrez Gene
18037	Entrez Gene
18035	Entrez Gene
18036	Entrez Gene
18037	Entrez Gene
18033	Entrez Gene
19697	Entrez Gene
11799	Entrez Gene
16362	Entrez Gene
16363	Entrez Gene
54131	Entrez Gene
16364	Entrez Gene
27056	Entrez Gene
54139	Entrez Gene
54123	Entrez Gene
21937	Entrez Gene
12905	Entrez Gene
19766	Entrez Gene
71609	Entrez Gene
12633	Entrez Gene
12578	Entrez Gene
58801	Entrez Gene
170770	Entrez Gene
51800	Entrez Gene
66593	Entrez Gene
17210	Entrez Gene
12050	Entrez Gene
16000	Entrez Gene
16002	Entrez Gene
16001	Entrez Gene
18708	Entrez Gene
11651	Entrez Gene
12015	Entrez Gene
13067	Entrez Gene
13063	Entrez Gene
22061	Entrez Gene
22062	Entrez Gene
