Identifier	Database
21803	Entrez Gene
16323	Entrez Gene
12159	Entrez Gene
21814	Entrez Gene
13805	Entrez Gene
21813	Entrez Gene
21812	Entrez Gene
14225	Entrez Gene
268977	Entrez Gene
14313	Entrez Gene
18121	Entrez Gene
16420	Entrez Gene
21825	Entrez Gene
21813	Entrez Gene
21812	Entrez Gene
230597	Entrez Gene
17125	Entrez Gene
17129	Entrez Gene
55994	Entrez Gene
17126	Entrez Gene
17127	Entrez Gene
17128	Entrez Gene
15978	Entrez Gene
21803	Entrez Gene
12159	Entrez Gene
21926	Entrez Gene
13645	Entrez Gene
20846	Entrez Gene
17126	Entrez Gene
17125	Entrez Gene
18033	Entrez Gene
17131	Entrez Gene
17130	Entrez Gene
26417	Entrez Gene
15461	Entrez Gene
22408	Entrez Gene
21926	Entrez Gene
12387	Entrez Gene
16451	Entrez Gene
26420	Entrez Gene
20750	Entrez Gene
24136	Entrez Gene
12393	Entrez Gene
12399	Entrez Gene
16842	Entrez Gene
20848	Entrez Gene
16476	Entrez Gene
209446	Entrez Gene
14106	Entrez Gene
94187	Entrez Gene
328572	Entrez Gene
12914	Entrez Gene
21815	Entrez Gene
20482	Entrez Gene
20481	Entrez Gene
18787	Entrez Gene
14281	Entrez Gene
16878	Entrez Gene
68010	Entrez Gene
