Identifier	Database
15978	Entrez Gene
15978	Entrez Gene
15978	Entrez Gene
15979	Entrez Gene
15980	Entrez Gene
16451	Entrez Gene
16452	Entrez Gene
16452	Entrez Gene
15980	Entrez Gene
15979	Entrez Gene
16451	Entrez Gene
15978	Entrez Gene
16452	Entrez Gene
15980	Entrez Gene
15979	Entrez Gene
16451	Entrez Gene
15980	Entrez Gene
15978	Entrez Gene
16451	Entrez Gene
16452	Entrez Gene
15979	Entrez Gene
12702	Entrez Gene
12703	Entrez Gene
19247	Entrez Gene
20846	Entrez Gene
20846	Entrez Gene
20847	Entrez Gene
20847	Entrez Gene
20846	Entrez Gene
20847	Entrez Gene
20846	Entrez Gene
16391	Entrez Gene
16391	Entrez Gene
20846	Entrez Gene
20846	Entrez Gene
16391	Entrez Gene
20846	Entrez Gene
20846	Entrez Gene
20846	Entrez Gene
20846	Entrez Gene
18753	Entrez Gene
19692	Entrez Gene
16364	Entrez Gene
20375	Entrez Gene
20846	Entrez Gene
20846	Entrez Gene
20846	Entrez Gene
20846	Entrez Gene
20847	Entrez Gene
20846	Entrez Gene
16391	Entrez Gene
20846	Entrez Gene
20846	Entrez Gene
16391	Entrez Gene
111654	Entrez Gene
15977	Entrez Gene
18126	Entrez Gene
14468	Entrez Gene
97122	Entrez Gene
16912	Entrez Gene
21354	Entrez Gene
15945	Entrez Gene
12265	Entrez Gene
13058	Entrez Gene
16176	Entrez Gene
15958	Entrez Gene
19106	Entrez Gene
16362	Entrez Gene
15894	Entrez Gene
17329	Entrez Gene
100038882	Entrez Gene
15900	Entrez Gene
15900	Entrez Gene
16363	Entrez Gene
