Identifier	Database
24336	Entrez Gene
24514	Entrez Gene
83805	Entrez Gene
24336	Entrez Gene
25124	Entrez Gene
85385	Entrez Gene
81504	Entrez Gene
170851	Entrez Gene
50689	Entrez Gene
116590	Entrez Gene
58960	Entrez Gene
116551	Entrez Gene
24185	Entrez Gene
ENSRNOG00000009385	Ensembl
24335	Entrez Gene
24335	Entrez Gene
252971	Entrez Gene
25126	Entrez Gene
83681	Entrez Gene
24918	Entrez Gene
25125	Entrez Gene
25125	Entrez Gene
25124	Entrez Gene
24699	Entrez Gene
116680	Entrez Gene
81504	Entrez Gene
24703	Entrez Gene
313845	Entrez Gene
29376	Entrez Gene
24514	Entrez Gene
25467	Entrez Gene
25676	Entrez Gene
24703	Entrez Gene
313845	Entrez Gene
25676	Entrez Gene
