Identifier	Database
24890	Entrez Gene
24890	Entrez Gene
24890	Entrez Gene
24890	Entrez Gene
24890	Entrez Gene
24890	Entrez Gene
24890	Entrez Gene
170915	Entrez Gene
54244	Entrez Gene
83828	Entrez Gene
117526	Entrez Gene
24890	Entrez Gene
170922	Entrez Gene
294693	Entrez Gene
306516	Entrez Gene
308415	Entrez Gene
83828	Entrez Gene
266713	Entrez Gene
682902	Entrez Gene
373541	Entrez Gene
81673	Entrez Gene
294018	Entrez Gene
288533	Entrez Gene
307485	Entrez Gene
288651	Entrez Gene
81674	Entrez Gene
310784	Entrez Gene
291703	Entrez Gene
171150	Entrez Gene
303918	Entrez Gene
84389	Entrez Gene
117526	Entrez Gene
294236	Entrez Gene
361580	Entrez Gene
690966	Entrez Gene
498109	Entrez Gene
289561	Entrez Gene
83503	Entrez Gene
361365	Entrez Gene
288588	Entrez Gene
309224	Entrez Gene
117017	Entrez Gene
292778	Entrez Gene
363633	Entrez Gene
363287	Entrez Gene
84580	Entrez Gene
84578	Entrez Gene
84581	Entrez Gene
297893	Entrez Gene
84582	Entrez Gene
84577	Entrez Gene
363481	Entrez Gene
363067	Entrez Gene
58919	Entrez Gene
314612	Entrez Gene
ENSRNOG00000001849	Ensembl
114486	Entrez Gene
ENSRNOG00000016611	Ensembl
314436	Entrez Gene
ENSRNOG00000010176	Ensembl
81504	Entrez Gene
313845	Entrez Gene
24890	Entrez Gene
83805	Entrez Gene
81649	Entrez Gene
50658	Entrez Gene
24185	Entrez Gene
HMDB00058	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
HMDB00151	HMDB
25636	Entrez Gene
81646	Entrez Gene
24224	Entrez Gene
24224	Entrez Gene
ENSRNOG00000019073	Ensembl
ENSRNOG00000037237	Ensembl
ENSRNOG00000022485	Ensembl
81736	Entrez Gene
81736	Entrez Gene
81646	Entrez Gene
24790	Entrez Gene
24516	Entrez Gene
314322	Entrez Gene
24400	Entrez Gene
680149	Entrez Gene
171104	Entrez Gene
497672	Entrez Gene
