Identifier	Database
HMDB01487	HMDB
HMDB00902	HMDB
HMDB01362	HMDB
HMDB01341	HMDB
HMDB00538	HMDB
65262	Entrez Gene
171374	Entrez Gene
245965	Entrez Gene
245958	Entrez Gene
171082	Entrez Gene
29754	Entrez Gene
171375	Entrez Gene
29754	Entrez Gene
114630	Entrez Gene
641434	Entrez Gene
140608	Entrez Gene
94271	Entrez Gene
690441	Entrez Gene
300677	Entrez Gene
192241	Entrez Gene
362749	Entrez Gene
26197	Entrez Gene
83615	Entrez Gene
302526	Entrez Gene
ENSRNOG00000031979	Ensembl
ENSRNOG00000030700	Ensembl
301123	Entrez Gene
362837	Entrez Gene
26193	Entrez Gene
26194	Entrez Gene
26199	Entrez Gene
26202	Entrez Gene
26200	Entrez Gene
26201	Entrez Gene
291660	Entrez Gene
26203	Entrez Gene
316632	Entrez Gene
296658	Entrez Gene
25488	Entrez Gene
681024	Entrez Gene
362440	Entrez Gene
691001	Entrez Gene
293453	Entrez Gene
299643	Entrez Gene
315167	Entrez Gene
301458	Entrez Gene
289218	Entrez Gene
293991	Entrez Gene
295923	Entrez Gene
293652	Entrez Gene
362344	Entrez Gene
679739	Entrez Gene
499529	Entrez Gene
681418	Entrez Gene
689938	Entrez Gene
362588	Entrez Gene
293655	Entrez Gene
171528	Entrez Gene
361385	Entrez Gene
297990	Entrez Gene
293130	Entrez Gene
294964	Entrez Gene
299954	Entrez Gene
81728	Entrez Gene
64539	Entrez Gene
