Identifier	Database
291314	Entrez Gene
308993	Entrez Gene
24790	Entrez Gene
367846	Entrez Gene
ENSRNOG00000026293	Ensembl
500255	Entrez Gene
292759	Entrez Gene
363285	Entrez Gene
500255	Entrez Gene
24404	Entrez Gene
29326	Entrez Gene
29328	Entrez Gene
25430	Entrez Gene
29360	Entrez Gene
58819	Entrez Gene
25545	Entrez Gene
308993	Entrez Gene
113922	Entrez Gene
65162	Entrez Gene
29475	Entrez Gene
64317	Entrez Gene
259233	Entrez Gene
362713	Entrez Gene
290549	Entrez Gene
498398	Entrez Gene
362624	Entrez Gene
315216	Entrez Gene
685059	Entrez Gene
286900	Entrez Gene
365802	Entrez Gene
50551	Entrez Gene
297437	Entrez Gene
499113	Entrez Gene
65241	Entrez Gene
338477	Entrez Gene
297437	Entrez Gene
50551	Entrez Gene
140927	Entrez Gene
24360	Entrez Gene
266975	Entrez Gene
58819	Entrez Gene
64640	Entrez Gene
83619	Entrez Gene
81736	Entrez Gene
25620	Entrez Gene
ENSRNOG00000008015	Ensembl
309165	Entrez Gene
HMDB03966	HMDB
HMDB03288	HMDB
HMDB06407	HMDB
HMDB03288	HMDB
HMDB03966	HMDB
