Identifier	Database
305509	Entrez Gene
29241	Entrez Gene
24414	Entrez Gene
24408	Entrez Gene
50592	Entrez Gene
29627	Entrez Gene
29628	Entrez Gene
29629	Entrez Gene
24409	Entrez Gene
24410	Entrez Gene
24411	Entrez Gene
24412	Entrez Gene
24418	Entrez Gene
15966	ChEBI
29320	ChEBI
17489	ChEBI
25636	Entrez Gene
307861	Entrez Gene
314988	Entrez Gene
170851	Entrez Gene
58960	Entrez Gene
306255	Entrez Gene
294504	Entrez Gene
24245	Entrez Gene
29340	Entrez Gene
362317	Entrez Gene
25432	Entrez Gene
24318	Entrez Gene
24316	Entrez Gene
305509	Entrez Gene
25636	Entrez Gene
50689	Entrez Gene
116590	Entrez Gene
29437	Entrez Gene
81646	Entrez Gene
25050	Entrez Gene
