Identifier	Database
25712	Entrez Gene
25712	Entrez Gene
25712	Entrez Gene
116465	Entrez Gene
360697	Entrez Gene
84598	Entrez Gene
24514	Entrez Gene
24514	Entrez Gene
360697	Entrez Gene
116465	Entrez Gene
84598	Entrez Gene
25712	Entrez Gene
24514	Entrez Gene
360697	Entrez Gene
116465	Entrez Gene
84598	Entrez Gene
360697	Entrez Gene
25712	Entrez Gene
84598	Entrez Gene
24514	Entrez Gene
116465	Entrez Gene
89829	Entrez Gene
252971	Entrez Gene
25622	Entrez Gene
25124	Entrez Gene
25124	Entrez Gene
288774	Entrez Gene
288774	Entrez Gene
25124	Entrez Gene
288774	Entrez Gene
25124	Entrez Gene
305896	Entrez Gene
305896	Entrez Gene
305896	Entrez Gene
25124	Entrez Gene
25124	Entrez Gene
305896	Entrez Gene
25124	Entrez Gene
25124	Entrez Gene
25124	Entrez Gene
25124	Entrez Gene
170538	Entrez Gene
24714	Entrez Gene
291100	Entrez Gene
366126	Entrez Gene
25124	Entrez Gene
25124	Entrez Gene
25124	Entrez Gene
25124	Entrez Gene
288774	Entrez Gene
25124	Entrez Gene
305896	Entrez Gene
305896	Entrez Gene
25124	Entrez Gene
25124	Entrez Gene
305896	Entrez Gene
24481	Entrez Gene
24599	Entrez Gene
304266	Entrez Gene
295277	Entrez Gene
24967	Entrez Gene
24811	Entrez Gene
192281	Entrez Gene
245920	Entrez Gene
85483	Entrez Gene
66021	Entrez Gene
24494	Entrez Gene
294091	Entrez Gene
54287	Entrez Gene
24508	Entrez Gene
25464	Entrez Gene
246759	Entrez Gene
298693	Entrez Gene
292060	Entrez Gene
292060	Entrez Gene
290749	Entrez Gene
