Identifier	Database
25445	Entrez Gene
303586	Entrez Gene
364754	Entrez Gene
24516	Entrez Gene
ENSRNOG00000013993	Ensembl
84426	Entrez Gene
24842	Entrez Gene
58822	Entrez Gene
54244	Entrez Gene
ENSRNOG00000012481	Ensembl
315196	Entrez Gene
294562	Entrez Gene
83572	Entrez Gene
81749	Entrez Gene
315294	Entrez Gene
79257	Entrez Gene
29134	Entrez Gene
24577	Entrez Gene
300438	Entrez Gene
85420	Entrez Gene
301440	Entrez Gene
293649	Entrez Gene
303811	Entrez Gene
282582	Entrez Gene
161452	Entrez Gene
116466	Entrez Gene
24673	Entrez Gene
363122	Entrez Gene
303181	Entrez Gene
500047	Entrez Gene
25682	Entrez Gene
24205	Entrez Gene
313121	Entrez Gene
114850	Entrez Gene
414065	Entrez Gene
312451	Entrez Gene
315298	Entrez Gene
25335	Entrez Gene
25272	Entrez Gene
84006	Entrez Gene
317674	Entrez Gene
117104	Entrez Gene
58868	Entrez Gene
114487	Entrez Gene
140584	Entrez Gene
282581	Entrez Gene
ENSRNOG00000005872	Ensembl
64033	Entrez Gene
303251	Entrez Gene
497961	Entrez Gene
25193	Entrez Gene
299147	Entrez Gene
266715	Entrez Gene
84353	Entrez Gene
499593	Entrez Gene
308068	Entrez Gene
24881	Entrez Gene
64512	Entrez Gene
315648	Entrez Gene
501506	Entrez Gene
311163	Entrez Gene
364952	Entrez Gene
85421	Entrez Gene
29382	Entrez Gene
691318	Entrez Gene
83721	Entrez Gene
362102	Entrez Gene
24672	Entrez Gene
29340	Entrez Gene
60660	Entrez Gene
25406	Entrez Gene
170915	Entrez Gene
25522	Entrez Gene
ENSRNOG00000009021	Ensembl
24680	Entrez Gene
140584	Entrez Gene
81717	Entrez Gene
84027	Entrez Gene
316526	Entrez Gene
64566	Entrez Gene
58919	Entrez Gene
266608	Entrez Gene
25619	Entrez Gene
117256	Entrez Gene
312781	Entrez Gene
117281	Entrez Gene
25023	Entrez Gene
117273	Entrez Gene
50658	Entrez Gene
316527	Entrez Gene
64558	Entrez Gene
311881	Entrez Gene
24882	Entrez Gene
ENSRNOG00000012702	Ensembl
170538	Entrez Gene
