Identifier	Database
WP1269	WikiPathways
18563	Entrez Gene
2.3.1.7	Enzyme Nomenclature
2.6.1.18	Enzyme Nomenclature
268860	Entrez Gene
6.3.2.11	Enzyme Nomenclature
3.4.13.3	Enzyme Nomenclature
4.1.1.11	Enzyme Nomenclature
4.1.1.12	Enzyme Nomenclature
14417	Entrez Gene
2.6.1.12	Enzyme Nomenclature
226414	Entrez Gene
76282	Entrez Gene
11611	Entrez Gene
6.1.1.7	Enzyme Nomenclature
5.1.1.1	Enzyme Nomenclature
6.3.4.4	Enzyme Nomenclature
11898	Entrez Gene
3.5.1.1	Enzyme Nomenclature
3.5.1.38	Enzyme Nomenclature
6.3.1.1	Enzyme Nomenclature
6.3.5.4	Enzyme Nomenclature
4.3.1.1	Enzyme Nomenclature
109900	Entrez Gene
4.3.2.2	Enzyme Nomenclature
2.6.1.14	Enzyme Nomenclature
3.5.1.3	Enzyme Nomenclature
1.4.3.2	Enzyme Nomenclature
1.4.3.16	Enzyme Nomenclature
1.2.1.18	Enzyme Nomenclature
2.1.3.2	Enzyme Nomenclature
14719	Entrez Gene
6.3.5.6	Enzyme Nomenclature
226414	Entrez Gene
6.1.1.22	Enzyme Nomenclature
1.4.3.1	Enzyme Nomenclature
1.4.3.15	Enzyme Nomenclature
3.5.1.7	Enzyme Nomenclature
5.1.1.13	Enzyme Nomenclature
11484	Entrez Gene
14415	Entrez Gene
14718	Entrez Gene
WP157	WikiPathways
