Identifier	Database
ENSMUSG00000022892	Ensembl
ENSMUSG00000031878	Ensembl
WP254	WikiPathways
WP623	WikiPathways
WP1821	WikiPathways
WP1896	WikiPathways
WP254	WikiPathways
HMDB01498	HMDB
HMDB00464	HMDB
HMDB00692	HMDB
HMDB00657	HMDB
HMDB03125	HMDB
HMDB03378	HMDB
ENSMUSG00000037032	Ensembl
ENSMUSG00000090825	Ensembl
ENSMUSG00000054693	Ensembl
ENSMUSG00000032086	Ensembl
ENSMUSG00000036835	Ensembl
ENSMUSG00000019969	Ensembl
ENSMUSG00000003458	Ensembl
ENSMUSG00000015750	Ensembl
ENSMUSG00000056999	Ensembl
ENSMUSG00000027820	Ensembl
ENSMUSG00000015568	Ensembl
ENSMUSG00000002985	Ensembl
ENSMUSG00000040249	Ensembl
ENSMUSG00000024778	Ensembl
ENSMUSG00000030341	Ensembl
ENSMUSG00000031077	Ensembl
ENSMUSG00000026029	Ensembl
ENSMUSG00000025260	Ensembl
ENSMUSG00000004446	Ensembl
ENSMUSG00000062813	Ensembl
ENSMUSG00000036438	Ensembl
56398	Entrez Gene
ENSMUSG00000024959	Ensembl
ENSMUSG00000063130	Ensembl
ENSMUSG00000033765	Ensembl
ENSMUSG00000028161	Ensembl
ENSMUSG00000021816	Ensembl
ENSMUSG00000022092	Ensembl
ENSMUSG00000033953	Ensembl
ENSMUSG00000028310	Ensembl
70261	Entrez Gene
ENSMUSG00000052593	Ensembl
ENSMUSG00000010609	Ensembl
ENSMUSG00000019979	Ensembl
ENSMUSG00000028914	Ensembl
ENSMUSG00000031628	Ensembl
ENSMUSG00000025889	Ensembl
ENSMUSG00000026959	Ensembl
ENSMUSG00000051331	Ensembl
ENSMUSG00000059003	Ensembl
ENSMUSG00000030209	Ensembl
ENSMUSG00000020734	Ensembl
ENSMUSG00000002771	Ensembl
ENSMUSG00000015968	Ensembl
ENSMUSG00000031142	Ensembl
ENSMUSG00000026407	Ensembl
ENSMUSG00000024639	Ensembl
ENSMUSG00000051177	Ensembl
ENSMUSG00000040061	Ensembl
ENSMUSG00000024960	Ensembl
ENSMUSG00000039943	Ensembl
ENSMUSG00000024401	Ensembl
ENSMUSG00000027398	Ensembl
ENSMUSG00000063358	Ensembl
ENSMUSG00000063065	Ensembl
ENSMUSG00000025887	Ensembl
WP254	WikiPathways
ENSMUSG00000057378	Ensembl
ENSMUSG00000036835	Ensembl
ENSMUSG00000029467	Ensembl
ENSMUSG00000030730	Ensembl
ENSMUSG00000020788	Ensembl
ENSMUSG00000031668	Ensembl
ENSMUSG00000020715	Ensembl
ENSMUSG00000026663	Ensembl
ENSMUSG00000030102	Ensembl
ENSMUSG00000030287	Ensembl
ENSMUSG00000042644	Ensembl
HMDB00464	HMDB
HMDB00464	HMDB
ENSMUSG00000024942	Ensembl
ENSMUSG00000026509	Ensembl
ENSMUSG00000059552	Ensembl
ENSMUSG00000048895	Ensembl
ENSMUSG00000029361	Ensembl
ENSMUSG00000028969	Ensembl
ENSMUSG00000018411	Ensembl
ENSMUSG00000022812	Ensembl
ENSMUSG00000031628	Ensembl
ENSMUSG00000025076	Ensembl
WP254	WikiPathways
WP453	WikiPathways
WP1878	WikiPathways
HMDB02179	HMDB
