Identifier	Database
12145	Entrez Gene
12458	Entrez Gene
12765	Entrez Gene
12766	Entrez Gene
12767	Entrez Gene
12768	Entrez Gene
12769	Entrez Gene
12770	Entrez Gene
12771	Entrez Gene
12772	Entrez Gene
12773	Entrez Gene
12774	Entrez Gene
12775	Entrez Gene
12776	Entrez Gene
12777	Entrez Gene
13051	Entrez Gene
227288	Entrez Gene
23832	Entrez Gene
80901	Entrez Gene
100039053	Entrez Gene
100039863	Entrez Gene
100504977	Entrez Gene
14825	Entrez Gene
15945	Entrez Gene
16963	Entrez Gene
17329	Entrez Gene
18829	Entrez Gene
20290	Entrez Gene
20292	Entrez Gene
20293	Entrez Gene
20295	Entrez Gene
20296	Entrez Gene
20297	Entrez Gene
20299	Entrez Gene
20300	Entrez Gene
20301	Entrez Gene
20302	Entrez Gene
20303	Entrez Gene
20304	Entrez Gene
20305	Entrez Gene
20306	Entrez Gene
20307	Entrez Gene
20308	Entrez Gene
20309	Entrez Gene
20310	Entrez Gene
20311	Entrez Gene
20312	Entrez Gene
20315	Entrez Gene
24047	Entrez Gene
541307	Entrez Gene
55985	Entrez Gene
56066	Entrez Gene
56221	Entrez Gene
56744	Entrez Gene
56838	Entrez Gene
57266	Entrez Gene
57349	Entrez Gene
65956	Entrez Gene
66102	Entrez Gene
16452	Entrez Gene
16453	Entrez Gene
path:mmu04810	KEGG Genes
path:mmu04060	KEGG Genes
14083	Entrez Gene
12988	Entrez Gene
14191	Entrez Gene
15162	Entrez Gene
17096	Entrez Gene
666513	Entrez Gene
19303	Entrez Gene
11848	Entrez Gene
433749	Entrez Gene
18706	Entrez Gene
18707	Entrez Gene
18708	Entrez Gene
18709	Entrez Gene
18710	Entrez Gene
30955	Entrez Gene
320207	Entrez Gene
74769	Entrez Gene
18795	Entrez Gene
18796	Entrez Gene
18797	Entrez Gene
18798	Entrez Gene
C00165	KEGG Compound
C01245	KEGG Compound
C00076	KEGG Compound
path:mmu04670	KEGG Genes
20416	Entrez Gene
20418	Entrez Gene
216148	Entrez Gene
271849	Entrez Gene
14677	Entrez Gene
14678	Entrez Gene
14679	Entrez Gene
100042311	Entrez Gene
100043318	Entrez Gene
100043507	Entrez Gene
100503710	Entrez Gene
14688	Entrez Gene
14693	Entrez Gene
14695	Entrez Gene
14696	Entrez Gene
14697	Entrez Gene
14699	Entrez Gene
14700	Entrez Gene
14701	Entrez Gene
14702	Entrez Gene
14704	Entrez Gene
14706	Entrez Gene
14707	Entrez Gene
14708	Entrez Gene
14709	Entrez Gene
14710	Entrez Gene
436049	Entrez Gene
64337	Entrez Gene
66066	Entrez Gene
14784	Entrez Gene
12927	Entrez Gene
140580	Entrez Gene
12928	Entrez Gene
12929	Entrez Gene
110355	Entrez Gene
14772	Entrez Gene
14773	Entrez Gene
24013	Entrez Gene
26385	Entrez Gene
109689	Entrez Gene
216869	Entrez Gene
19877	Entrez Gene
19878	Entrez Gene
path:mmu04630	KEGG Genes
22324	Entrez Gene
22325	Entrez Gene
57257	Entrez Gene
16428	Entrez Gene
12540	Entrez Gene
104110	Entrez Gene
104111	Entrez Gene
11512	Entrez Gene
11513	Entrez Gene
11514	Entrez Gene
11515	Entrez Gene
210044	Entrez Gene
224129	Entrez Gene
432530	Entrez Gene
19395	Entrez Gene
109905	Entrez Gene
215449	Entrez Gene
22376	Entrez Gene
73178	Entrez Gene
18751	Entrez Gene
18753	Entrez Gene
93742	Entrez Gene
18762	Entrez Gene
21844	Entrez Gene
24001	Entrez Gene
17969	Entrez Gene
C00575	KEGG Compound
18747	Entrez Gene
18749	Entrez Gene
19108	Entrez Gene
19229	Entrez Gene
18479	Entrez Gene
20846	Entrez Gene
20847	Entrez Gene
20848	Entrez Gene
20851	Entrez Gene
26413	Entrez Gene
26417	Entrez Gene
11651	Entrez Gene
11652	Entrez Gene
23797	Entrez Gene
15461	Entrez Gene
16653	Entrez Gene
18176	Entrez Gene
26395	Entrez Gene
109880	Entrez Gene
110157	Entrez Gene
path:mmu04120	KEGG Genes
94176	Entrez Gene
19353	Entrez Gene
19354	Entrez Gene
18762	Entrez Gene
18033	Entrez Gene
19697	Entrez Gene
12675	Entrez Gene
16150	Entrez Gene
16151	Entrez Gene
18035	Entrez Gene
18036	Entrez Gene
path:mmu04010	KEGG Genes
277360	Entrez Gene
20662	Entrez Gene
20663	Entrez Gene
56484	Entrez Gene
56637	Entrez Gene
606496	Entrez Gene
C05981	KEGG Compound
