Identifier	Database
14825	Entrez Gene
21926	Entrez Gene
16176	Entrez Gene
16175	Entrez Gene
16193	Entrez Gene
21926	Entrez Gene
16176	Entrez Gene
16175	Entrez Gene
21926	Entrez Gene
21803	Entrez Gene
21926	Entrez Gene
16175	Entrez Gene
16176	Entrez Gene
21926	Entrez Gene
16175	Entrez Gene
16176	Entrez Gene
16193	Entrez Gene
16156	Entrez Gene
16160	Entrez Gene
12977	Entrez Gene
12981	Entrez Gene
12985	Entrez Gene
12504	Entrez Gene
16175	Entrez Gene
16176	Entrez Gene
16193	Entrez Gene
16153	Entrez Gene
330122	Entrez Gene
16159	Entrez Gene
16168	Entrez Gene
15962	Entrez Gene
15977	Entrez Gene
21926	Entrez Gene
16187	Entrez Gene
16193	Entrez Gene
16196	Entrez Gene
12981	Entrez Gene
16187	Entrez Gene
16189	Entrez Gene
16153	Entrez Gene
16163	Entrez Gene
15978	Entrez Gene
21926	Entrez Gene
16183	Entrez Gene
16160	Entrez Gene
16168	Entrez Gene
16183	Entrez Gene
15978	Entrez Gene
16168	Entrez Gene
16187	Entrez Gene
16189	Entrez Gene
16153	Entrez Gene
16189	Entrez Gene
16153	Entrez Gene
16189	Entrez Gene
16193	Entrez Gene
21803	Entrez Gene
16183	Entrez Gene
16189	Entrez Gene
16191	Entrez Gene
16163	Entrez Gene
15978	Entrez Gene
16187	Entrez Gene
16191	Entrez Gene
21803	Entrez Gene
16183	Entrez Gene
16183	Entrez Gene
15962	Entrez Gene
18590	Entrez Gene
MGI:98553	MGI
6957	Entrez Gene
14969	Entrez Gene
14968	Entrez Gene
16183	Entrez Gene
16183	Entrez Gene
WP458	WikiPathways
