Identifier	Database
20084	Entrez Gene
27367	Entrez Gene
20005	Entrez Gene
19896	Entrez Gene
11837	Entrez Gene
56040	Entrez Gene
22121	Entrez Gene
26451	Entrez Gene
19983	Entrez Gene
19989	Entrez Gene
19988	Entrez Gene
27176	Entrez Gene
110954	Entrez Gene
270106	Entrez Gene
19921	Entrez Gene
19933	Entrez Gene
19934	Entrez Gene
19943	Entrez Gene
19944	Entrez Gene
19951	Entrez Gene
19952	Entrez Gene
57808	Entrez Gene
54217	Entrez Gene
27050	Entrez Gene
16898	Entrez Gene
20103	Entrez Gene
20055	Entrez Gene
20091	Entrez Gene
20042	Entrez Gene
27370	Entrez Gene
26961	Entrez Gene
19941	Entrez Gene
19946	Entrez Gene
19981	Entrez Gene
67945	Entrez Gene
19982	Entrez Gene
20102	Entrez Gene
20104	Entrez Gene
20115	Entrez Gene
20116	Entrez Gene
27207	Entrez Gene
20054	Entrez Gene
54127	Entrez Gene
20090	Entrez Gene
14109	Entrez Gene
67186	Entrez Gene
269261	Entrez Gene
66480	Entrez Gene
319195	Entrez Gene
67025	Entrez Gene
19899	Entrez Gene
76808	Entrez Gene
268449	Entrez Gene
68193	Entrez Gene
19942	Entrez Gene
114641	Entrez Gene
68436	Entrez Gene
66489	Entrez Gene
67281	Entrez Gene
67671	Entrez Gene
67891	Entrez Gene
67248	Entrez Gene
67097	Entrez Gene
68052	Entrez Gene
20044	Entrez Gene
16785	Entrez Gene
267019	Entrez Gene
20068	Entrez Gene
20088	Entrez Gene
20085	Entrez Gene
67427	Entrez Gene
66481	Entrez Gene
66475	Entrez Gene
75617	Entrez Gene
57294	Entrez Gene
78294	Entrez Gene
20111	Entrez Gene
20112	Entrez Gene
110651	Entrez Gene
58988	Entrez Gene
