Identifier	Database
19891	Entrez Gene
68240	Entrez Gene
18968	Entrez Gene
19075	Entrez Gene
19076	Entrez Gene
18974	Entrez Gene
18973	Entrez Gene
50793	Entrez Gene
18393	Entrez Gene
26429	Entrez Gene
26428	Entrez Gene
18392	Entrez Gene
56452	Entrez Gene
57441	Entrez Gene
67177	Entrez Gene
22186	Entrez Gene
17219	Entrez Gene
17218	Entrez Gene
17217	Entrez Gene
17215	Entrez Gene
17216	Entrez Gene
17220	Entrez Gene
70024	Entrez Gene
12566	Entrez Gene
72151	Entrez Gene
106344	Entrez Gene
69263	Entrez Gene
19718	Entrez Gene
19687	Entrez Gene
18538	Entrez Gene
27214	Entrez Gene
12545	Entrez Gene
68275	Entrez Gene
12544	Entrez Gene
18972	Entrez Gene
67967	Entrez Gene
69745	Entrez Gene
18971	Entrez Gene
23834	Entrez Gene
22190	Entrez Gene
18969	Entrez Gene
HMDB01440	HMDB
HMDB01532	HMDB
HMDB00998	HMDB
HMDB01440	HMDB
HMDB01532	HMDB
HMDB01532	HMDB
HMDB01341	HMDB
HMDB01532	HMDB
HMDB01341	HMDB
HMDB01532	HMDB
HMDB00998	HMDB
17625	ChEBI
17625	ChEBI
