Identifier	Database
17878	Entrez Gene
16601	Entrez Gene
64209	Entrez Gene
75062	Entrez Gene
12417	Entrez Gene
54375	Entrez Gene
26441	Entrez Gene
22763	Entrez Gene
22218	Entrez Gene
319186	Entrez Gene
19290	Entrez Gene
12953	Entrez Gene
18626	Entrez Gene
18627	Entrez Gene
12952	Entrez Gene
53412	Entrez Gene
12608	Entrez Gene
19053	Entrez Gene
27057	Entrez Gene
14011	Entrez Gene
238988	Entrez Gene
14998	Entrez Gene
15481	Entrez Gene
15502	Entrez Gene
22229	Entrez Gene
14866	Entrez Gene
216558	Entrez Gene
12741	Entrez Gene
18701	Entrez Gene
22152	Entrez Gene
14585	Entrez Gene
68652	Entrez Gene
20610	Entrez Gene
14870	Entrez Gene
50884	Entrez Gene
30960	Entrez Gene
52331	Entrez Gene
23994	Entrez Gene
319554	Entrez Gene
22057	Entrez Gene
19663	Entrez Gene
14373	Entrez Gene
11865	Entrez Gene
353187	Entrez Gene
12753	Entrez Gene
12226	Entrez Gene
13690	Entrez Gene
19317	Entrez Gene
