Identifier	Database
14472	Entrez Gene
18424	Entrez Gene
21803	Entrez Gene
16917	Entrez Gene
HMDB01852	HMDB
13798	Entrez Gene
13799	Entrez Gene
20423	Entrez Gene
14179	Entrez Gene
22408	Entrez Gene
11668	Entrez Gene
14632	Entrez Gene
14633	Entrez Gene
110648	Entrez Gene
18424	Entrez Gene
22408	Entrez Gene
17701	Entrez Gene
15376	Entrez Gene
20674	Entrez Gene
20848	Entrez Gene
13798	Entrez Gene
13799	Entrez Gene
16917	Entrez Gene
18742	Entrez Gene
18227	Entrez Gene
15376	Entrez Gene
11924	Entrez Gene
18088	Entrez Gene
17172	Entrez Gene
ENSMUSG00000034701	Ensembl
18096	Entrez Gene
21823	Entrez Gene
13195	Entrez Gene
13162	Entrez Gene
214084	Entrez Gene
18742	Entrez Gene
12577	Entrez Gene
19713	Entrez Gene
