Identifier	Database
20259	Entrez Gene
21821	Entrez Gene
16568	Entrez Gene
58214	Entrez Gene
18605	Entrez Gene
16000	Entrez Gene
21833	Entrez Gene
21833	Entrez Gene
16001	Entrez Gene
14600	Entrez Gene
20851	Entrez Gene
11651	Entrez Gene
16002	Entrez Gene
16147	Entrez Gene
19227	Entrez Gene
19206	Entrez Gene
14634	Entrez Gene
19228	Entrez Gene
18747	Entrez Gene
HMDB00058	HMDB
20682	Entrez Gene
12393	Entrez Gene
19226	Entrez Gene
12161	Entrez Gene
12162	Entrez Gene
12813	Entrez Gene
20750	Entrez Gene
12166	Entrez Gene
21803	Entrez Gene
21808	Entrez Gene
24864	ChEBI
60311	ChEBI
20378	Entrez Gene
14184	Entrez Gene
14172	Entrez Gene
20846	Entrez Gene
14173	Entrez Gene
12824	Entrez Gene
11595	Entrez Gene
18214	Entrez Gene
17386	Entrez Gene
58250	Entrez Gene
20678	Entrez Gene
20679	Entrez Gene
12399	Entrez Gene
208727	Entrez Gene
12020	Entrez Gene
17260	Entrez Gene
HMDB01377	HMDB
17395	Entrez Gene
11504	Entrez Gene
240913	Entrez Gene
23794	Entrez Gene
13039	Entrez Gene
18791	Entrez Gene
18792	Entrez Gene
22339	Entrez Gene
17313	Entrez Gene
208715	Entrez Gene
11647	Entrez Gene
12283	Entrez Gene
12577	Entrez Gene
21803	Entrez Gene
19206	Entrez Gene
12406	Entrez Gene
14182	Entrez Gene
21859	Entrez Gene
12313	Entrez Gene
67760	Entrez Gene
12393	Entrez Gene
12393	Entrez Gene
