Identifier	Database
13645	Entrez Gene
21802	Entrez Gene
11839	Entrez Gene
12223	Entrez Gene
15200	Entrez Gene
13874	Entrez Gene
211323	Entrez Gene
100042150	Entrez Gene
18183	Entrez Gene
83961	Entrez Gene
13649	Entrez Gene
13866	Entrez Gene
13867	Entrez Gene
13869	Entrez Gene
13649	Entrez Gene
13649	Entrez Gene
13866	Entrez Gene
13866	Entrez Gene
13867	Entrez Gene
13866	Entrez Gene
13867	Entrez Gene
13869	Entrez Gene
13866	Entrez Gene
13869	Entrez Gene
18803	Entrez Gene
12322	Entrez Gene
18750	Entrez Gene
80794	Entrez Gene
20850	Entrez Gene
20779	Entrez Gene
14083	Entrez Gene
12928	Entrez Gene
11350	Entrez Gene
17973	Entrez Gene
70584	Entrez Gene
26400	Entrez Gene
26419	Entrez Gene
16476	Entrez Gene
216148	Entrez Gene
14784	Entrez Gene
20662	Entrez Gene
15461	Entrez Gene
11836	Entrez Gene
26395	Entrez Gene
26413	Entrez Gene
14784	Entrez Gene
20850	Entrez Gene
17869	Entrez Gene
13712	Entrez Gene
14388	Entrez Gene
320207	Entrez Gene
23797	Entrez Gene
56717	Entrez Gene
12015	Entrez Gene
56637	Entrez Gene
12576	Entrez Gene
12575	Entrez Gene
13685	Entrez Gene
13712	Entrez Gene
