Identifier	Database
HMDB00151	HMDB
HMDB00145	HMDB
HMDB00338	HMDB
ENSMUSG00000032315	Ensembl
ENSMUSG00000032310	Ensembl
ENSMUSG00000024087	Ensembl
HMDB00335	HMDB
HMDB00405	HMDB
ENSMUSG00000000326	Ensembl
ENSMUSG00000030711	Ensembl
394436	Entrez Gene
ENSMUSG00000000326	Ensembl
HMDB00405	HMDB
ENSMUSG00000030711	Ensembl
HMDB01425	HMDB
ENSMUSG00000029272	Ensembl
HMDB00343	HMDB
ENSMUSG00000032310	Ensembl
ENSMUSG00000032315	Ensembl
ENSMUSG00000000326	Ensembl
HMDB00010	HMDB
ENSMUSG00000000326	Ensembl
148381	PubChem-compound
114862	PubChem-compound
ENSMUSG00000003849	Ensembl
ENSMUSG00000003849	Ensembl
HMDB01377	HMDB
HMDB02168	HMDB
HMDB01377	HMDB
HMDB02168	HMDB
HMDB01377	HMDB
HMDB02168	HMDB
HMDB02168	HMDB
HMDB01377	HMDB
14862	Entrez Gene
14857	Entrez Gene
HMDB04483	HMDB
HMDB04483	HMDB
ENSMUSG00000054545	Ensembl
HMDB06224	HMDB
ENSMUSG00000054545	Ensembl
394436	Entrez Gene
HMDB04482	HMDB
ENSMUSG00000054545	Ensembl
ENSMUSG00000054545	Ensembl
394436	Entrez Gene
ENSMUSG00000054545	Ensembl
ENSMUSG00000054545	Ensembl
ENSMUSG00000054545	Ensembl
394436	Entrez Gene
394436	Entrez Gene
22236	Entrez Gene
394436	Entrez Gene
394434	Entrez Gene
ENSMUSG00000054545	Ensembl
ENSMUSG00000054545	Ensembl
ENSMUSG00000054545	Ensembl
394434	Entrez Gene
ENSMUSG00000030711	Ensembl
