Identifier	Database
21991	Entrez Gene
14933	Entrez Gene
14626	Entrez Gene
14571	Entrez Gene
12896	Entrez Gene
12894	Entrez Gene
12651	Entrez Gene
57279	Entrez Gene
12908	Entrez Gene
14081	Entrez Gene
60525	Entrez Gene
74205	Entrez Gene
50790	Entrez Gene
433256	Entrez Gene
216739	Entrez Gene
12895	Entrez Gene
11370	Entrez Gene
97212	Entrez Gene
231086	Entrez Gene
97212	Entrez Gene
231086	Entrez Gene
231086	Entrez Gene
11363	Entrez Gene
231086	Entrez Gene
97212	Entrez Gene
231086	Entrez Gene
93747	Entrez Gene
15107	Entrez Gene
231086	Entrez Gene
16890	Entrez Gene
15450	Entrez Gene
66853	Entrez Gene
67717	Entrez Gene
16956	Entrez Gene
97212	Entrez Gene
97212	Entrez Gene
11363	Entrez Gene
97212	Entrez Gene
231086	Entrez Gene
97212	Entrez Gene
11364	Entrez Gene
93747	Entrez Gene
15107	Entrez Gene
231086	Entrez Gene
11364	Entrez Gene
93747	Entrez Gene
15107	Entrez Gene
231086	Entrez Gene
11409	Entrez Gene
93747	Entrez Gene
15107	Entrez Gene
231086	Entrez Gene
97212	Entrez Gene
97212	Entrez Gene
97212	Entrez Gene
11409	Entrez Gene
93747	Entrez Gene
15107	Entrez Gene
270076	Entrez Gene
13382	Entrez Gene
110446	Entrez Gene
97212	Entrez Gene
231086	Entrez Gene
97212	Entrez Gene
231086	Entrez Gene
11363	Entrez Gene
11363	Entrez Gene
97212	Entrez Gene
231086	Entrez Gene
13177	Entrez Gene
11364	Entrez Gene
67460	Entrez Gene
13177	Entrez Gene
HMDB00131	HMDB
HMDB01473	HMDB
9029-97-4	CAS
HMDB01112	HMDB
HMDB01206	HMDB
HMDB01206	HMDB
6244-92-4	CAS
HMDB01206	HMDB
HMDB01206	HMDB
HMDB01206	HMDB
HMDB01206	HMDB
HMDB01484	HMDB
HMDB01339	HMDB
HMDB01206	HMDB
HMDB01064	HMDB
HMDB01206	HMDB
HMDB01206	HMDB
WP434	WikiPathways
WP157	WikiPathways
WP434	WikiPathways
WP434	WikiPathways
WP434	WikiPathways
WP434	WikiPathways
WP434	WikiPathways
WP434	WikiPathways
