Identifier	Database
CHEBI:26995	ChEBI
12669	Entrez Gene
243764	Entrez Gene
12671	Entrez Gene
12672	Entrez Gene
11549	Entrez Gene
11548	Entrez Gene
11550	Entrez Gene
11552	Entrez Gene
11553	Entrez Gene
11551	Entrez Gene
11554	Entrez Gene
11555	Entrez Gene
11556	Entrez Gene
13490	Entrez Gene
13491	Entrez Gene
15465	Entrez Gene
15466	Entrez Gene
15551	Entrez Gene
15552	Entrez Gene
15550	Entrez Gene
15557	Entrez Gene
15558	Entrez Gene
15559	Entrez Gene
15560	Entrez Gene
15562	Entrez Gene
15563	Entrez Gene
15564	Entrez Gene
15565	Entrez Gene
15566	Entrez Gene
11607	Entrez Gene
11608	Entrez Gene
11609	Entrez Gene
18101	Entrez Gene
14829	Entrez Gene
12209	Entrez Gene
12062	Entrez Gene
12061	Entrez Gene
12267	Entrez Gene
12273	Entrez Gene
14289	Entrez Gene
14288	Entrez Gene
14293	Entrez Gene
14294	Entrez Gene
14291	Entrez Gene
14290	Entrez Gene
23796	Entrez Gene
12765	Entrez Gene
12768	Entrez Gene
12770	Entrez Gene
12772	Entrez Gene
12771	Entrez Gene
12773	Entrez Gene
12774	Entrez Gene
12458	Entrez Gene
12776	Entrez Gene
12769	Entrez Gene
59289	Entrez Gene
54199	Entrez Gene
12766	Entrez Gene
12767	Entrez Gene
12145	Entrez Gene
13051	Entrez Gene
12425	Entrez Gene
12426	Entrez Gene
17199	Entrez Gene
17200	Entrez Gene
17202	Entrez Gene
17201	Entrez Gene
17203	Entrez Gene
18166	Entrez Gene
18167	Entrez Gene
19065	Entrez Gene
18168	Entrez Gene
18169	Entrez Gene
14608	Entrez Gene
18216	Entrez Gene
18217	Entrez Gene
18386	Entrez Gene
18387	Entrez Gene
18390	Entrez Gene
18389	Entrez Gene
20605	Entrez Gene
20606	Entrez Gene
20607	Entrez Gene
20608	Entrez Gene
20609	Entrez Gene
14062	Entrez Gene
54140	Entrez Gene
26361	Entrez Gene
11998	Entrez Gene
18430	Entrez Gene
14427	Entrez Gene
14429	Entrez Gene
14428	Entrez Gene
14065	Entrez Gene
14063	Entrez Gene
14064	Entrez Gene
14763	Entrez Gene
171469	Entrez Gene
14762	Entrez Gene
14747	Entrez Gene
14764	Entrez Gene
76854	Entrez Gene
14767	Entrez Gene
14309	Entrez Gene
16867	Entrez Gene
22095	Entrez Gene
212541	Entrez Gene
14539	Entrez Gene
12057	Entrez Gene
57811	Entrez Gene
30044	Entrez Gene
20132	Entrez Gene
13603	Entrez Gene
18316	Entrez Gene
404334	Entrez Gene
57251	Entrez Gene
29849	Entrez Gene
29847	Entrez Gene
29846	Entrez Gene
29845	Entrez Gene
54393	Entrez Gene
Q9EPG0_MOUSE	Uniprot-TrEMBL
56015	Entrez Gene
258173	Entrez Gene
18314	Entrez Gene
Q9EPV1	Uniprot-TrEMBL
258597	Entrez Gene
258776	Entrez Gene
259036	Entrez Gene
18312	Entrez Gene
194433	Entrez Gene
259035	Entrez Gene
258594	Entrez Gene
56014	Entrez Gene
Q9EQ94	Uniprot-TrEMBL
Q9EQ95	Uniprot-TrEMBL
258607	Entrez Gene
258242	Entrez Gene
258269	Entrez Gene
258498	Entrez Gene
258433	Entrez Gene
257959	Entrez Gene
258811	Entrez Gene
258430	Entrez Gene
258323	Entrez Gene
406175	Entrez Gene
258742	Entrez Gene
258434	Entrez Gene
258501	Entrez Gene
258276	Entrez Gene
258497	Entrez Gene
258802	Entrez Gene
258605	Entrez Gene
258826	Entrez Gene
18343	Entrez Gene
258604	Entrez Gene
56861	Entrez Gene
258333	Entrez Gene
80706	Entrez Gene
258740	Entrez Gene
258328	Entrez Gene
258499	Entrez Gene
258431	Entrez Gene
258416	Entrez Gene
258310	Entrez Gene
258794	Entrez Gene
258882	Entrez Gene
258475	Entrez Gene
258883	Entrez Gene
258415	Entrez Gene
258868	Entrez Gene
406176	Entrez Gene
18348	Entrez Gene
56858	Entrez Gene
18317	Entrez Gene
233670	Entrez Gene
259037	Entrez Gene
18313	Entrez Gene
258350	Entrez Gene
66786	Entrez Gene
259034	Entrez Gene
258589	Entrez Gene
Q9EPF6	Uniprot-TrEMBL
19216	Entrez Gene
19217	Entrez Gene
19214	Entrez Gene
19218	Entrez Gene
19219	Entrez Gene
19220	Entrez Gene
19222	Entrez Gene
21390	Entrez Gene
11540	Entrez Gene
11541	Entrez Gene
11542	Entrez Gene
18442	Entrez Gene
18441	Entrez Gene
233571	Entrez Gene
57385	Entrez Gene
64095	Entrez Gene
16995	Entrez Gene
84112	Entrez Gene
12802	Entrez Gene
12801	Entrez Gene
19204	Entrez Gene
170732	Entrez Gene
22045	Entrez Gene
14765	Entrez Gene
17773	Entrez Gene
84111	Entrez Gene
70839	Entrez Gene
74191	Entrez Gene
140795	Entrez Gene
14761	Entrez Gene
17171	Entrez Gene
12778	Entrez Gene
21462	Entrez Gene
14760	Entrez Gene
14748	Entrez Gene
14738	Entrez Gene
81006	Entrez Gene
93690	Entrez Gene
58861	Entrez Gene
14744	Entrez Gene
23890	Entrez Gene
80885	Entrez Gene
13618	Entrez Gene
12000	Entrez Gene
18429	Entrez Gene
258500	Entrez Gene
258603	Entrez Gene
51-45-6	CAS
50-67-9	CAS
62-31-7	CAS
HMDB01389	HMDB
