Identifier	Database
14677	Entrez Gene
18574	Entrez Gene
18575	Entrez Gene
18577	Entrez Gene
18578	Entrez Gene
110385	Entrez Gene
238871	Entrez Gene
18583	Entrez Gene
29863	Entrez Gene
18584	Entrez Gene
218461	Entrez Gene
14688	Entrez Gene
14693	Entrez Gene
14697	Entrez Gene
14699	Entrez Gene
14710	Entrez Gene
14704	Entrez Gene
14706	Entrez Gene
14707	Entrez Gene
14708	Entrez Gene
14709	Entrez Gene
14700	Entrez Gene
66066	Entrez Gene
14701	Entrez Gene
64337	Entrez Gene
14683	Entrez Gene
14687	Entrez Gene
14678	Entrez Gene
14677	Entrez Gene
14681	Entrez Gene
14679	Entrez Gene
432530	Entrez Gene
210044	Entrez Gene
104111	Entrez Gene
104110	Entrez Gene
224129	Entrez Gene
11512	Entrez Gene
11513	Entrez Gene
11514	Entrez Gene
11515	Entrez Gene
16519	Entrez Gene
14682	Entrez Gene
14672	Entrez Gene
14675	Entrez Gene
14676	Entrez Gene
18797	Entrez Gene
16438	Entrez Gene
15461	Entrez Gene
18176	Entrez Gene
16653	Entrez Gene
20130	Entrez Gene
19055	Entrez Gene
19057	Entrez Gene
19057	Entrez Gene
18753	Entrez Gene
18752	Entrez Gene
18754	Entrez Gene
18759	Entrez Gene
18755	Entrez Gene
18760	Entrez Gene
18761	Entrez Gene
18762	Entrez Gene
18751	Entrez Gene
75292	Entrez Gene
14673	Entrez Gene
14674	Entrez Gene
16801	Entrez Gene
11848	Entrez Gene
20544	Entrez Gene
19087	Entrez Gene
19088	Entrez Gene
18747	Entrez Gene
18749	Entrez Gene
19084	Entrez Gene
19085	Entrez Gene
18573	Entrez Gene
14695	Entrez Gene
14680	Entrez Gene
14681	Entrez Gene
12313	Entrez Gene
18750	Entrez Gene
11640	Entrez Gene
11641	Entrez Gene
11642	Entrez Gene
11643	Entrez Gene
238276	Entrez Gene
238161	Entrez Gene
56697	Entrez Gene
100986	Entrez Gene
56399	Entrez Gene
432442	Entrez Gene
219181	Entrez Gene
83397	Entrez Gene
75547	Entrez Gene
HMDB00058	HMDB
HMDB01143	HMDB
HMDB00464	HMDB
C00165	KEGG Compound
