Identifier	Database
16790	Entrez Gene
14598	Entrez Gene
14778	Entrez Gene
14381	Entrez Gene
15926	Entrez Gene
14782	Entrez Gene
14854	Entrez Gene
14629	Entrez Gene
14598	Entrez Gene
16790	Entrez Gene
75475	Entrez Gene
14598	Entrez Gene
14775	Entrez Gene
14776	Entrez Gene
625249	Entrez Gene
14857	Entrez Gene
14863	Entrez Gene
14871	Entrez Gene
14872	Entrez Gene
68312	Entrez Gene
23887	Entrez Gene
23887	Entrez Gene
14630	Entrez Gene
23887	Entrez Gene
C00127	KEGG Compound
HMDB00221	HMDB
HMDB00217	HMDB
C00051	KEGG Compound
HMDB00123	HMDB
C01419	KEGG Compound
C03740	KEGG Compound
C0151	KEGG Compound
C01879	KEGG Compound
C00025	KEGG Compound
C00097	KEGG Compound
C00669	KEGG Compound
C03646	KEGG Compound
C02320	KEGG Compound
C00025	KEGG Compound
HMDB00123	HMDB
HMDB01206	HMDB
C05729	KEGG Compound
C05726	KEGG Compound
8030	PubChem-compound
