Identifier	Database
18534	Entrez Gene
18655	Entrez Gene
14121	Entrez Gene
HMDB00223	HMDB
20525	Entrez Gene
13807	Entrez Gene
14433	Entrez Gene
HMDB00263	HMDB
212032	Entrez Gene
HMDB00744	HMDB
14377	Entrez Gene
103988	Entrez Gene
HMDB00191	HMDB
56485	Entrez Gene
13808	Entrez Gene
HMDB01206	HMDB
HMDB01473	HMDB
16828	Entrez Gene
18770	Entrez Gene
HMDB00122	HMDB
15275	Entrez Gene
18598	Entrez Gene
18746	Entrez Gene
14751	Entrez Gene
18563	Entrez Gene
HMDB01058	HMDB
HMDB01270	HMDB
100043349	Entrez Gene
27402	Entrez Gene
HMDB00243	HMDB
HMDB00223	HMDB
106557	Entrez Gene
14120	Entrez Gene
HMDB00124	HMDB
21991	Entrez Gene
17448	Entrez Gene
HMDB00362	HMDB
11674	Entrez Gene
18641	Entrez Gene
14719	Entrez Gene
Lactate	Wikipedia
11676	Entrez Gene
16833	Entrez Gene
56421	Entrez Gene
230163	Entrez Gene
18746	Entrez Gene
17449	Entrez Gene
HMDB00191	HMDB
HMDB00122	HMDB
13806	Entrez Gene
HMDB00807	HMDB
14718	Entrez Gene
18648	Entrez Gene
15277	Entrez Gene
HMDB00243	HMDB
HMDB01112	HMDB
18597	Entrez Gene
HMDB00744	HMDB
20528	Entrez Gene
18642	Entrez Gene
18663	Entrez Gene
13382	Entrez Gene
235339	Entrez Gene
HMDB01401	HMDB
20527	Entrez Gene
16832	Entrez Gene
14447	Entrez Gene
56012	Entrez Gene
68263	Entrez Gene
20526	Entrez Gene
WP434	WikiPathways
WP317	WikiPathways
WP63	WikiPathways
WP386	WikiPathways
55951	Entrez Gene
70456	Entrez Gene
