Identifier	Database
ENSMUSG00000031965	Ensembl
ENSMUSG00000000093	Ensembl
ENSMUSG00000015579	Ensembl
ENSMUSG00000018263	Ensembl
ENSMUSG00000030046	Ensembl
ENSMUSG00000037335	Ensembl
ENSMUSG00000021604	Ensembl
ENSMUSG00000015579	Ensembl
ENSMUSG00000033837	Ensembl
ENSMUSG00000005583	Ensembl
ENSMUSG00000055027	Ensembl
ENSMUSG00000031965	Ensembl
ENSMUSG00000038193	Ensembl
ENSMUSG00000026923	Ensembl
ENSMUSG00000040289	Ensembl
ENSMUSG00000015605	Ensembl
ENSMUSG00000021944	Ensembl
ENSMUSG00000042258	Ensembl
ENSMUSG00000070144	Ensembl
ENSMUSG00000019789	Ensembl
ENSMUSG00000002633	Ensembl
ENSMUSG00000037025	Ensembl
ENSMUSG00000046714	Ensembl
ENSMUSG00000015579	Ensembl
ENSMUSG00000037477	Ensembl
ENSMUSG00000050295	Ensembl
ENSMUSG00000028023	Ensembl
ENSMUSG00000025219	Ensembl
ENSMUSG00000021732	Ensembl
ENSMUSG00000018263	Ensembl
ENSMUSG00000027358	Ensembl
ENSMUSG00000000093	Ensembl
ENSMUSG00000043733	Ensembl
ENSMUSG00000033016	Ensembl
ENSMUSG00000023951	Ensembl
ENSMUSG00000027544	Ensembl
ENSMUSG00000031902	Ensembl
ENSMUSG00000023411	Ensembl
ENSMUSG00000024962	Ensembl
ENSMUSG00000031520	Ensembl
ENSMUSG00000015579	Ensembl
ENSMUSG00000018263	Ensembl
ENSMUSG00000021944	Ensembl
ENSMUSG00000006932	Ensembl
ENSMUSG00000026923	Ensembl
ENSMUSG00000030103	Ensembl
ENSMUSG00000031681	Ensembl
ENSMUSG00000024515	Ensembl
ENSMUSG00000021835	Ensembl
ENSMUSG00000021796	Ensembl
ENSMUSG00000067336	Ensembl
ENSMUSG00000027358	Ensembl
ENSMUSG00000005836	Ensembl
ENSMUSG00000005583	Ensembl
ENSMUSG00000015605	Ensembl
ENSMUSG00000015579	Ensembl
ENSMUSG00000065445	Ensembl
ENSMUSG00000065592	Ensembl
ENSMUSG00000021944	Ensembl
ENSMUSG00000018166	Ensembl
ENSMUSG00000063358	Ensembl
ENSMUSG00000018263	Ensembl
ENSMUSG00000005583	Ensembl
ENSMUSG00000021944	Ensembl
