Identifier	Database
16191	Entrez Gene
16191	Entrez Gene
16192	Entrez Gene
ENSMUSG00000071713	Ensembl
20416	Entrez Gene
19247	Entrez Gene
ENSMUSG00000071713	Ensembl
13430	Entrez Gene
18751	Entrez Gene
26413	Entrez Gene
26417	Entrez Gene
216148	Entrez Gene
26416	Entrez Gene
18035	Entrez Gene
19229	Entrez Gene
30955	Entrez Gene
26396	Entrez Gene
18708	Entrez Gene
18709	Entrez Gene
15170	Entrez Gene
18033	Entrez Gene
26420	Entrez Gene
14784	Entrez Gene
17096	Entrez Gene
22248	Entrez Gene
12929	Entrez Gene
110157	Entrez Gene
16653	Entrez Gene
20963	Entrez Gene
53378	Entrez Gene
20677	Entrez Gene
12703	Entrez Gene
22631	Entrez Gene
15162	Entrez Gene
11651	Entrez Gene
20111	Entrez Gene
56484	Entrez Gene
18033	Entrez Gene
606496	Entrez Gene
18783	Entrez Gene
22324	Entrez Gene
15163	Entrez Gene
12402	Entrez Gene
23921	Entrez Gene
16476	Entrez Gene
12229	Entrez Gene
56637	Entrez Gene
11909	Entrez Gene
13712	Entrez Gene
16185	Entrez Gene
20850	Entrez Gene
20851	Entrez Gene
12929	Entrez Gene
11689	Entrez Gene
11689	Entrez Gene
12028	Entrez Gene
12028	Entrez Gene
18753	Entrez Gene
18753	Entrez Gene
16192	Entrez Gene
12983	Entrez Gene
12387	Entrez Gene
12387	Entrez Gene
15461	Entrez Gene
110351	Entrez Gene
12445	Entrez Gene
12576	Entrez Gene
107746	Entrez Gene
11690	Entrez Gene
19353	Entrez Gene
15894	Entrez Gene
16414	Entrez Gene
16409	Entrez Gene
18712	Entrez Gene
16451	Entrez Gene
16452	Entrez Gene
20848	Entrez Gene
20846	Entrez Gene
20851	Entrez Gene
20850	Entrez Gene
