Identifier	Database
18796	Entrez Gene
26419	Entrez Gene
208727	Entrez Gene
73181	Entrez Gene
19353	Entrez Gene
13614	Entrez Gene
19055	Entrez Gene
HMDB01498	HMDB
108058	Entrez Gene
17876	Entrez Gene
HMDB07009	HMDB
12313	Entrez Gene
HMDB00464	HMDB
19056	Entrez Gene
11606	Entrez Gene
26416	Entrez Gene
18751	Entrez Gene
18607	Entrez Gene
230899	Entrez Gene
18158	Entrez Gene
HMDB01314	HMDB
19091	Entrez Gene
73181	Entrez Gene
HMDB00464	HMDB
225724	Entrez Gene
26417	Entrez Gene
26398	Entrez Gene
14173	Entrez Gene
16000	Entrez Gene
13645	Entrez Gene
211323	Entrez Gene
110157	Entrez Gene
26395	Entrez Gene
26417	Entrez Gene
18780	Entrez Gene
26417	Entrez Gene
23938	Entrez Gene
23939	Entrez Gene
26417	Entrez Gene
26397	Entrez Gene
21803	Entrez Gene
66513	Entrez Gene
18607	Entrez Gene
11651	Entrez Gene
56717	Entrez Gene
56637	Entrez Gene
21926	Entrez Gene
53859	Entrez Gene
56489	Entrez Gene
18033	Entrez Gene
18033	Entrez Gene
107951	Entrez Gene
15184	Entrez Gene
56233	Entrez Gene
79221	Entrez Gene
15184	Entrez Gene
79221	Entrez Gene
208727	Entrez Gene
56233	Entrez Gene
11652	Entrez Gene
12572	Entrez Gene
26413	Entrez Gene
26399	Entrez Gene
26400	Entrez Gene
26396	Entrez Gene
16151	Entrez Gene
16150	Entrez Gene
12675	Entrez Gene
54720	Entrez Gene
18706	Entrez Gene
74769	Entrez Gene
30955	Entrez Gene
18707	Entrez Gene
18708	Entrez Gene
18709	Entrez Gene
18710	Entrez Gene
11848	Entrez Gene
19877	Entrez Gene
19878	Entrez Gene
107589	Entrez Gene
213435	Entrez Gene
HMDB00464	HMDB
16878	Entrez Gene
13019	Entrez Gene
11606	Entrez Gene
20848	Entrez Gene
20848	Entrez Gene
26419	Entrez Gene
26413	Entrez Gene
26417	Entrez Gene
26416	Entrez Gene
12700	Entrez Gene
MI0000408	miRBase Sequence
MI0000821	miRBase Sequence
MI0000820	miRBase Sequence
MI0000159	miRBase Sequence
MI0000558	miRBase Sequence
MI0000558	miRBase Sequence
MI0000821	miRBase Sequence
MI0000142	miRBase Sequence
MI0000259	miRBase Sequence
MI0000227	miRBase Sequence
MI0000241	miRBase Sequence
MI0000713	miRBase Sequence
MI0000571	miRBase Sequence
MI0000142	miRBase Sequence
MI0000725	miRBase Sequence
MI0000152	miRBase Sequence
MI0000227	miRBase Sequence
MI0000587	miRBase Sequence
MI0000588	miRBase Sequence
MI0000558	miRBase Sequence
MI0000571	miRBase Sequence
MI0000241	miRBase Sequence
MI0000713	miRBase Sequence
MI0000558	miRBase Sequence
MI0000140	miRBase Sequence
MI0000142	miRBase Sequence
MI0000259	miRBase Sequence
MI0000237	miRBase Sequence
MI0000237	miRBase Sequence
MI0000140	miRBase Sequence
MI0000241	miRBase Sequence
MI0000713	miRBase Sequence
MI0000140	miRBase Sequence
MI0000237	miRBase Sequence
MI0000571	miRBase Sequence
MI0000142	miRBase Sequence
MI0000142	miRBase Sequence
MI0000259	miRBase Sequence
MI0000713	miRBase Sequence
MI0000241	miRBase Sequence
MI0000140	miRBase Sequence
MI0000569	miRBase Sequence
MI0000237	miRBase Sequence
MI0000408	miRBase Sequence
MI0000259	miRBase Sequence
MI0000569	miRBase Sequence
MI0000571	miRBase Sequence
MI0000259	miRBase Sequence
MI0000259	miRBase Sequence
MI0000555	miRBase Sequence
