Identifier	Database
ENSMUSG00000027335	Ensembl
ENSMUSG00000068122	Ensembl
ENSMUSG00000034730	Ensembl
ENSMUSG00000033569	Ensembl
ENSMUSG00000041347	Ensembl
ENSMUSG00000040552	Ensembl
ENSMUSG00000049130	Ensembl
ENSMUSG00000044534	Ensembl
ENSMUSG00000064039	Ensembl
ENSMUSG00000037944	Ensembl
ENSMUSG00000042262	Ensembl
ENSMUSG00000043953	Ensembl
ENSMUSG00000002885	Ensembl
ENSMUSG00000016028	Ensembl
ENSMUSG00000068740	Ensembl
ENSMUSG00000023473	Ensembl
ENSMUSG00000052336	Ensembl
ENSMUSG00000050232	Ensembl
ENSMUSG00000047880	Ensembl
ENSMUSG00000048521	Ensembl
ENSMUSG00000044337	Ensembl
ENSMUSG00000037872	Ensembl
ENSMUSG00000039167	Ensembl
ENSMUSG00000004730	Ensembl
ENSMUSG00000032915	Ensembl
ENSMUSG00000047429	Ensembl
ENSMUSG00000053647	Ensembl
ENSMUSG00000054200	Ensembl
ENSMUSG00000021298	Ensembl
ENSMUSG00000025333	Ensembl
ENSMUSG00000047293	Ensembl
ENSMUSG00000073008	Ensembl
ENSMUSG00000056380	Ensembl
ENSMUSG00000031785	Ensembl
ENSMUSG00000031298	Ensembl
ENSMUSG00000021886	Ensembl
ENSMUSG00000074361	Ensembl
ENSMUSG00000046733	Ensembl
ENSMUSG00000008734	Ensembl
ENSMUSG00000030205	Ensembl
ENSMUSG00000032360	Ensembl
ENSMUSG00000037346	Ensembl
ENSMUSG00000039106	Ensembl
ENSMUSG00000050534	Ensembl
ENSMUSG00000028184	Ensembl
ENSMUSG00000028184	Ensembl
ENSMUSG00000028184	Ensembl
ENSMUSG00000028184	Ensembl
ENSMUSG00000028184	Ensembl
ENSMUSG00000028184	Ensembl
ENSMUSG00000028184	Ensembl
ENSMUSG00000028782	Ensembl
ENSMUSG00000067714	Ensembl
ENSMUSG00000013033	Ensembl
ENSMUSG00000028184	Ensembl
ENSMUSG00000037605	Ensembl
ENSMUSG00000046908	Ensembl
ENSMUSG00000068037	Ensembl
ENSMUSG00000019865	Ensembl
ENSMUSG00000026237	Ensembl
ENSMUSG00000037393	Ensembl
ENSMUSG00000033774	Ensembl
ENSMUSG00000043659	Ensembl
ENSMUSG00000036437	Ensembl
ENSMUSG00000028004	Ensembl
ENSMUSG00000026525	Ensembl
ENSMUSG00000021799	Ensembl
ENSMUSG00000043972	Ensembl
ENSMUSG00000050511	Ensembl
ENSMUSG00000025905	Ensembl
ENSMUSG00000000766	Ensembl
ENSMUSG00000027765	Ensembl
ENSMUSG00000050921	Ensembl
ENSMUSG00000036381	Ensembl
ENSMUSG00000048337	Ensembl
ENSMUSG00000045052	Ensembl
ENSMUSG00000021804	Ensembl
ENSMUSG00000028012	Ensembl
ENSMUSG00000043895	Ensembl
ENSMUSG00000067586	Ensembl
ENSMUSG00000044199	Ensembl
ENSMUSG00000001761	Ensembl
ENSMUSG00000035431	Ensembl
ENSMUSG00000037014	Ensembl
ENSMUSG00000027762	Ensembl
ENSMUSG00000051136	Ensembl
ENSMUSG00000045087	Ensembl
ENSMUSG00000042429	Ensembl
ENSMUSG00000000562	Ensembl
ENSMUSG00000033717	Ensembl
ENSMUSG00000058620	Ensembl
ENSMUSG00000045318	Ensembl
ENSMUSG00000044338	Ensembl
ENSMUSG00000044288	Ensembl
ENSMUSG00000062585	Ensembl
ENSMUSG00000032259	Ensembl
ENSMUSG00000022705	Ensembl
ENSMUSG00000025496	Ensembl
ENSMUSG00000024553	Ensembl
ENSMUSG00000052229	Ensembl
ENSMUSG00000050350	Ensembl
ENSMUSG00000023192	Ensembl
ENSMUSG00000003974	Ensembl
ENSMUSG00000063239	Ensembl
ENSMUSG00000000617	Ensembl
ENSMUSG00000056755	Ensembl
ENSMUSG00000024211	Ensembl
ENSMUSG00000053004	Ensembl
ENSMUSG00000039059	Ensembl
ENSMUSG00000021721	Ensembl
ENSMUSG00000049511	Ensembl
ENSMUSG00000070687	Ensembl
ENSMUSG00000050783	Ensembl
ENSMUSG00000054764	Ensembl
ENSMUSG00000050901	Ensembl
ENSMUSG00000045502	Ensembl
ENSMUSG00000044014	Ensembl
ENSMUSG00000038071	Ensembl
ENSMUSG00000036353	Ensembl
ENSMUSG00000036362	Ensembl
ENSMUSG00000060735	Ensembl
ENSMUSG00000049741	Ensembl
ENSMUSG00000045092	Ensembl
ENSMUSG00000044933	Ensembl
ENSMUSG00000050824	Ensembl
ENSMUSG00000038668	Ensembl
ENSMUSG00000031861	Ensembl
ENSMUSG00000036832	Ensembl
ENSMUSG00000050541	Ensembl
ENSMUSG00000049115	Ensembl
ENSMUSG00000054988	Ensembl
ENSMUSG00000020123	Ensembl
ENSMUSG00000026432	Ensembl
ENSMUSG00000021070	Ensembl
ENSMUSG00000051980	Ensembl
ENSMUSG00000029193	Ensembl
ENSMUSG00000030898	Ensembl
ENSMUSG00000025804	Ensembl
ENSMUSG00000044052	Ensembl
ENSMUSG00000049103	Ensembl
ENSMUSG00000035448	Ensembl
