Identifier	Database
ENSMUSG00000069823	Ensembl
ENSMUSG00000057168	Ensembl
ENSMUSG00000075214	Ensembl
ENSMUSG00000043226	Ensembl
ENSMUSG00000075208	Ensembl
ENSMUSG00000046975	Ensembl
ENSMUSG00000044923	Ensembl
ENSMUSG00000050577	Ensembl
ENSMUSG00000075200	Ensembl
ENSMUSG00000047149	Ensembl
ENSMUSG00000075175	Ensembl
ENSMUSG00000044213	Ensembl
ENSMUSG00000075171	Ensembl
ENSMUSG00000036658	Ensembl
ENSMUSG00000049843	Ensembl
ENSMUSG00000061616	Ensembl
ENSMUSG00000043605	Ensembl
ENSMUSG00000047444	Ensembl
ENSMUSG00000075068	Ensembl
ENSMUSG00000075063	Ensembl
ENSMUSG00000070310	Ensembl
ENSMUSG00000063670	Ensembl
ENSMUSG00000046272	Ensembl
ENSMUSG00000066748	Ensembl
ENSMUSG00000058820	Ensembl
ENSMUSG00000049098	Ensembl
ENSMUSG00000048299	Ensembl
ENSMUSG00000062121	Ensembl
ENSMUSG00000059043	Ensembl
ENSMUSG00000061165	Ensembl
ENSMUSG00000075212	Ensembl
ENSMUSG00000066896	Ensembl
ENSMUSG00000057987	Ensembl
ENSMUSG00000060007	Ensembl
ENSMUSG00000062105	Ensembl
ENSMUSG00000047960	Ensembl
ENSMUSG00000043357	Ensembl
ENSMUSG00000048101	Ensembl
ENSMUSG00000054141	Ensembl
ENSMUSG00000075384	Ensembl
ENSMUSG00000057146	Ensembl
ENSMUSG00000066243	Ensembl
ENSMUSG00000073893	Ensembl
ENSMUSG00000073892	Ensembl
ENSMUSG00000072312	Ensembl
ENSMUSG00000073891	Ensembl
ENSMUSG00000073890	Ensembl
ENSMUSG00000070415	Ensembl
ENSMUSG00000063120	Ensembl
ENSMUSG00000054236	Ensembl
ENSMUSG00000059031	Ensembl
ENSMUSG00000059996	Ensembl
ENSMUSG00000063610	Ensembl
ENSMUSG00000060549	Ensembl
ENSMUSG00000058510	Ensembl
ENSMUSG00000049579	Ensembl
ENSMUSG00000062710	Ensembl
ENSMUSG00000059227	Ensembl
ENSMUSG00000062147	Ensembl
ENSMUSG00000060059	Ensembl
ENSMUSG00000058679	Ensembl
ENSMUSG00000066844	Ensembl
ENSMUSG00000058014	Ensembl
ENSMUSG00000061000	Ensembl
ENSMUSG00000063764	Ensembl
ENSMUSG00000061782	Ensembl
ENSMUSG00000036647	Ensembl
ENSMUSG00000054666	Ensembl
ENSMUSG00000058814	Ensembl
ENSMUSG00000069430	Ensembl
ENSMUSG00000050853	Ensembl
ENSMUSG00000046076	Ensembl
ENSMUSG00000042190	Ensembl
ENSMUSG00000046856	Ensembl
ENSMUSG00000036357	Ensembl
ENSMUSG00000041293	Ensembl
ENSMUSG00000067642	Ensembl
ENSMUSG00000061577	Ensembl
ENSMUSG00000023918	Ensembl
ENSMUSG00000041468	Ensembl
ENSMUSG00000031486	Ensembl
ENSMUSG00000029090	Ensembl
ENSMUSG00000039116	Ensembl
ENSMUSG00000022755	Ensembl
ENSMUSG00000044017	Ensembl
ENSMUSG00000043398	Ensembl
ENSMUSG00000066197	Ensembl
ENSMUSG00000053101	Ensembl
ENSMUSG00000034677	Ensembl
ENSMUSG00000044197	Ensembl
ENSMUSG00000043441	Ensembl
ENSMUSG00000045509	Ensembl
ENSMUSG00000044724	Ensembl
ENSMUSG00000042804	Ensembl
ENSMUSG00000046961	Ensembl
ENSMUSG00000047875	Ensembl
ENSMUSG00000045967	Ensembl
ENSMUSG00000037661	Ensembl
ENSMUSG00000038390	Ensembl
ENSMUSG00000050075	Ensembl
ENSMUSG00000056679	Ensembl
ENSMUSG00000040133	Ensembl
ENSMUSG00000058396	Ensembl
ENSMUSG00000032641	Ensembl
ENSMUSG00000045281	Ensembl
ENSMUSG00000053164	Ensembl
ENSMUSG00000044067	Ensembl
ENSMUSG00000052759	Ensembl
ENSMUSG00000040125	Ensembl
ENSMUSG00000072875	Ensembl
ENSMUSG00000035148	Ensembl
ENSMUSG00000040229	Ensembl
ENSMUSG00000026271	Ensembl
ENSMUSG00000039904	Ensembl
ENSMUSG00000026424	Ensembl
ENSMUSG00000034117	Ensembl
ENSMUSG00000049608	Ensembl
ENSMUSG00000046793	Ensembl
ENSMUSG00000040372	Ensembl
ENSMUSG00000043999	Ensembl
ENSMUSG00000049241	Ensembl
ENSMUSG00000047678	Ensembl
ENSMUSG00000031932	Ensembl
ENSMUSG00000063234	Ensembl
ENSMUSG00000048216	Ensembl
ENSMUSG00000051431	Ensembl
ENSMUSG00000068696	Ensembl
ENSMUSG00000060470	Ensembl
ENSMUSG00000050199	Ensembl
ENSMUSG00000020140	Ensembl
ENSMUSG00000042793	Ensembl
ENSMUSG00000067173	Ensembl
ENSMUSG00000052303	Ensembl
ENSMUSG00000070547	Ensembl
ENSMUSG00000050425	Ensembl
ENSMUSG00000070546	Ensembl
ENSMUSG00000070550	Ensembl
ENSMUSG00000070551	Ensembl
ENSMUSG00000050870	Ensembl
ENSMUSG00000048965	Ensembl
ENSMUSG00000031070	Ensembl
ENSMUSG00000050276	Ensembl
ENSMUSG00000059408	Ensembl
ENSMUSG00000059763	Ensembl
ENSMUSG00000069708	Ensembl
ENSMUSG00000069706	Ensembl
ENSMUSG00000045111	Ensembl
ENSMUSG00000069705	Ensembl
ENSMUSG00000069704	Ensembl
ENSMUSG00000069703	Ensembl
ENSMUSG00000060825	Ensembl
ENSMUSG00000069702	Ensembl
ENSMUSG00000069701	Ensembl
ENSMUSG00000037424	Ensembl
ENSMUSG00000027584	Ensembl
ENSMUSG00000050650	Ensembl
ENSMUSG00000070552	Ensembl
