Identifier	Database
HMDB00696	HMDB
11720	Entrez Gene
232087	Entrez Gene
C00019	KEGG Compound
C00021	KEGG Compound
13429	Entrez Gene
13435	Entrez Gene
C00037	KEGG Compound
C00213	KEGG Compound
14711	Entrez Gene
C05330	KEGG Compound
229709	Entrez Gene
12116	Entrez Gene
64918	Entrez Gene
C00719	KEGG Compound
C01026	KEGG Compound
C00114	KEGG Compound
218865	Entrez Gene
12660	Entrez Gene
12651	Entrez Gene
C00570	KEGG Compound
8002-43-5	CAS
18618	Entrez Gene
C00307	KEGG Compound
212862	Entrez Gene
236899	Entrez Gene
18805	Entrez Gene
C00189	KEGG Compound
C00346	KEGG Compound
75320	Entrez Gene
68671	Entrez Gene
C00440	KEGG Compound
C00101	KEGG Compound
C00445	KEGG Compound
238505	Entrez Gene
17769	Entrez Gene
C00065	KEGG Compound
20425	Entrez Gene
108037	Entrez Gene
HMDB06485	HMDB
C00504	KEGG Compound
13361	Entrez Gene
22171	Entrez Gene
74129	Entrez Gene
C02291	KEGG Compound
C00097	KEGG Compound
12411	Entrez Gene
107869	Entrez Gene
C00669	KEGG Compound
14629	Entrez Gene
C00051	KEGG Compound
14854	Entrez Gene
C00606	KEGG Compound
12583	Entrez Gene
C00519	KEGG Compound
14415	Entrez Gene
14417	Entrez Gene
246277	Entrez Gene
C00245	KEGG Compound
C00217	KEGG Compound
14630	Entrez Gene
C05122	KEGG Compound
C05465	KEGG Compound
12012	Entrez Gene
20655	Entrez Gene
20656	Entrez Gene
20657	Entrez Gene
C01879	KEGG Compound
C00127	KEGG Compound
C00005	KEGG Compound
C00006	KEGG Compound
14782	Entrez Gene
14780	Entrez Gene
14775	Entrez Gene
625249	Entrez Gene
14778	Entrez Gene
67305	Entrez Gene
14776	Entrez Gene
75512	Entrez Gene
16247	ChEBI
13026	Entrez Gene
99712	Entrez Gene
C00350	KEGG Compound
214253	Entrez Gene
192166	Entrez Gene
C00065	KEGG Compound
C00037	KEGG Compound
