Identifier	Database
ENSMUSG00000000194	Ensembl
ENSMUSG00000005823	Ensembl
ENSMUSG00000057899	Ensembl
ENSMUSG00000053852	Ensembl
ENSMUSG00000053852	Ensembl
ENSMUSG00000056492	Ensembl
ENSMUSG00000024958	Ensembl
ENSMUSG00000021306	Ensembl
ENSMUSG00000075118	Ensembl
ENSMUSG00000049092	Ensembl
ENSMUSG00000041762	Ensembl
ENSMUSG00000040836	Ensembl
ENSMUSG00000031210	Ensembl
ENSMUSG00000022560	Ensembl
ENSMUSG00000002871	Ensembl
ENSMUSG00000028173	Ensembl
ENSMUSG00000070337	Ensembl
ENSMUSG00000022131	Ensembl
ENSMUSG00000071311	Ensembl
ENSMUSG00000071311	Ensembl
ENSMUSG00000044317	Ensembl
ENSMUSG00000028096	Ensembl
ENSMUSG00000074164	Ensembl
ENSMUSG00000074164	Ensembl
