Identifier	Database
HMDB02111	HMDB
ENSMUSG00000032315	Ensembl
ENSMUSG00000032310	Ensembl
ENSMUSG00000024087	Ensembl
ENSMUSG00000025479	Ensembl
ENSMUSG00000052974	Ensembl
ENSMUSG00000030670	Ensembl
ENSMUSG00000040703	Ensembl
ENSMUSG00000027983	Ensembl
ENSMUSG00000029541	Ensembl
ENSMUSG00000003484	Ensembl
ENSMUSG00000028713	Ensembl
ENSMUSG00000061126	Ensembl
ENSMUSG00000079057	Ensembl
ENSMUSG00000047155	Ensembl
ENSMUSG00000001467	Ensembl
ENSMUSG00000028240	Ensembl
ENSMUSG00000039519	Ensembl
ENSMUSG00000050445	Ensembl
ENSMUSG00000032323	Ensembl
110115	Entrez Gene
13072	Entrez Gene
ENSMUSG00000003555	Ensembl
ENSMUSG00000032274	Ensembl
ENSMUSG00000049439	Ensembl
ENSMUSG00000024365	Ensembl
ENSMUSG00000038567	Ensembl
ENSMUSG00000024987	Ensembl
ENSMUSG00000063415	Ensembl
ENSMUSG00000062432	Ensembl
ENSMUSG00000026170	Ensembl
ENSMUSG00000006724	Ensembl
ENSMUSG00000001467	Ensembl
ENSMUSG00000023963	Ensembl
ENSMUSG00000021259	Ensembl
ENSMUSG00000005514	Ensembl
16474	ChEBI
18009	ChEBI
HMDB01377	HMDB
HMDB01377	HMDB
ENSMUSG00000026456	Ensembl
ENSMUSG00000048065	Ensembl
ENSMUSG00000018042	Ensembl
ENSMUSG00000032872	Ensembl
16908	ChEBI
15846	ChEBI
ENSMUSG00000024646	Ensembl
ENSMUSG00000031924	Ensembl
ENSMUSG00000024646	Ensembl
ENSMUSG00000031924	Ensembl
ENSMUSG00000031924	Ensembl
ENSMUSG00000024646	Ensembl
29033	ChEBI
29033	ChEBI
29033	ChEBI
29033	ChEBI
29034	ChEBI
29034	ChEBI
29034	ChEBI
29034	ChEBI
