Identifier	Database
21926	Entrez Gene
21938	Entrez Gene
22029	Entrez Gene
22030	Entrez Gene
26401	Entrez Gene
26398	Entrez Gene
26414	Entrez Gene
12367	Entrez Gene
12043	Entrez Gene
12018	Entrez Gene
11783	Entrez Gene
12371	Entrez Gene
13063	Entrez Gene
13067	Entrez Gene
12015	Entrez Gene
22031	Entrez Gene
26415	Entrez Gene
18037	Entrez Gene
67384	Entrez Gene
12540	Entrez Gene
338372	Entrez Gene
51789	Entrez Gene
12577	Entrez Gene
12576	Entrez Gene
12575	Entrez Gene
13197	Entrez Gene
18538	Entrez Gene
12259	Entrez Gene
12260	Entrez Gene
12262	Entrez Gene
50909	Entrez Gene
50908	Entrez Gene
12263	Entrez Gene
12268	Entrez Gene
15139	Entrez Gene
12267	Entrez Gene
12273	Entrez Gene
12902	Entrez Gene
56196	Entrez Gene
22034	Entrez Gene
18033	Entrez Gene
WP412	WikiPathways
WP1254	WikiPathways
WP150	WikiPathways
