Identifier	Database
HMDB01487	HMDB
HMDB00902	HMDB
HMDB01362	HMDB
HMDB01341	HMDB
HMDB00538	HMDB
11946	Entrez Gene
11947	Entrez Gene
66043	Entrez Gene
67126	Entrez Gene
67942	Entrez Gene
11951	Entrez Gene
11950	Entrez Gene
11951	Entrez Gene
228033	Entrez Gene
71679	Entrez Gene
11958	Entrez Gene
11957	Entrez Gene
57423	Entrez Gene
27425	Entrez Gene
28080	Entrez Gene
68055	Entrez Gene
17705	Entrez Gene
54411	Entrez Gene
70495	Entrez Gene
MGI:99927	MGI
MGI:99926	MGI
69875	Entrez Gene
75406	Entrez Gene
17716	Entrez Gene
17717	Entrez Gene
17718	Entrez Gene
17721	Entrez Gene
17720	Entrez Gene
17719	Entrez Gene
17991	Entrez Gene
17722	Entrez Gene
67273	Entrez Gene
68375	Entrez Gene
68202	Entrez Gene
17992	Entrez Gene
66108	Entrez Gene
66091	Entrez Gene
66416	Entrez Gene
67130	Entrez Gene
227197	Entrez Gene
226646	Entrez Gene
67264	Entrez Gene
68349	Entrez Gene
225887	Entrez Gene
68198	Entrez Gene
407785	Entrez Gene
17993	Entrez Gene
68342	Entrez Gene
66377	Entrez Gene
595136	Entrez Gene
17995	Entrez Gene
14939	Entrez Gene
66916	Entrez Gene
230075	Entrez Gene
68197	Entrez Gene
66046	Entrez Gene
66218	Entrez Gene
72900	Entrez Gene
407790	Entrez Gene
78330	Entrez Gene
