Identifier	Database
11832	Entrez Gene
14626	Entrez Gene
14933	Entrez Gene
18534	Entrez Gene
74551	Entrez Gene
103968	Entrez Gene
12491	Entrez Gene
225579	Entrez Gene
26457	Entrez Gene
26458	Entrez Gene
26459	Entrez Gene
26569	Entrez Gene
11770	Entrez Gene
12140	Entrez Gene
14077	Entrez Gene
14079	Entrez Gene
14080	Entrez Gene
16204	Entrez Gene
16592	Entrez Gene
19013	Entrez Gene
20181	Entrez Gene
20182	Entrez Gene
20183	Entrez Gene
19015	Entrez Gene
20181	Entrez Gene
20182	Entrez Gene
20183	Entrez Gene
19016	Entrez Gene
20181	Entrez Gene
20182	Entrez Gene
20183	Entrez Gene
20280	Entrez Gene
113868	Entrez Gene
235674	Entrez Gene
11364	Entrez Gene
11363	Entrez Gene
100040843	Entrez Gene
13117	Entrez Gene
13118	Entrez Gene
13119	Entrez Gene
230639	Entrez Gene
277753	Entrez Gene
435802	Entrez Gene
640109	Entrez Gene
666168	Entrez Gene
74147	Entrez Gene
12896	Entrez Gene
12894	Entrez Gene
12895	Entrez Gene
78070	Entrez Gene
14081	Entrez Gene
216739	Entrez Gene
328845	Entrez Gene
433256	Entrez Gene
50790	Entrez Gene
74205	Entrez Gene
94180	Entrez Gene
108078	Entrez Gene
16956	Entrez Gene
12491	Entrez Gene
14077	Entrez Gene
13122	Entrez Gene
path:mmu04920	KEGG Genes
path:mmu00071	KEGG Genes
26457	Entrez Gene
26569	Entrez Gene
15360	Entrez Gene
20411	Entrez Gene
83995	Entrez Gene
83996	Entrez Gene
11770	Entrez Gene
57875	Entrez Gene
11430	Entrez Gene
80911	Entrez Gene
93732	Entrez Gene
16202	Entrez Gene
14080	Entrez Gene
18607	Entrez Gene
11807	Entrez Gene
18830	Entrez Gene
path:mmu00072	KEGG Genes
path:mmu00120	KEGG Genes
path:mmu00564	KEGG Genes
11450	Entrez Gene
20249	Entrez Gene
20250	Entrez Gene
30049	Entrez Gene
329065	Entrez Gene
56473	Entrez Gene
11814	Entrez Gene
13124	Entrez Gene
22259	Entrez Gene
104086	Entrez Gene
11806	Entrez Gene
22190	Entrez Gene
13167	Entrez Gene
66113	Entrez Gene
17436	Entrez Gene
22227	Entrez Gene
