Identifier	Database
18217	Entrez Gene
18387	Entrez Gene
11607	Entrez Gene
11608	Entrez Gene
11609	Entrez Gene
12062	Entrez Gene
12061	Entrez Gene
18101	Entrez Gene
14829	Entrez Gene
12209	Entrez Gene
12768	Entrez Gene
12772	Entrez Gene
12771	Entrez Gene
12773	Entrez Gene
12774	Entrez Gene
12775	Entrez Gene
12776	Entrez Gene
12769	Entrez Gene
12777	Entrez Gene
12770	Entrez Gene
80901	Entrez Gene
12145	Entrez Gene
12767	Entrez Gene
12766	Entrez Gene
12267	Entrez Gene
12273	Entrez Gene
13051	Entrez Gene
12765	Entrez Gene
14293	Entrez Gene
14294	Entrez Gene
12425	Entrez Gene
12426	Entrez Gene
13617	Entrez Gene
13618	Entrez Gene
14427	Entrez Gene
14428	Entrez Gene
14429	Entrez Gene
14309	Entrez Gene
16867	Entrez Gene
22095	Entrez Gene
17200	Entrez Gene
17199	Entrez Gene
17201	Entrez Gene
17202	Entrez Gene
17203	Entrez Gene
18166	Entrez Gene
18167	Entrez Gene
19065	Entrez Gene
18168	Entrez Gene
18169	Entrez Gene
18216	Entrez Gene
18386	Entrez Gene
18390	Entrez Gene
18389	Entrez Gene
14715	Entrez Gene
22045	Entrez Gene
208188	Entrez Gene
21336	Entrez Gene
21337	Entrez Gene
21338	Entrez Gene
20605	Entrez Gene
20606	Entrez Gene
20607	Entrez Gene
20608	Entrez Gene
20609	Entrez Gene
26361	Entrez Gene
12000	Entrez Gene
18430	Entrez Gene
12458	Entrez Gene
54140	Entrez Gene
