Identifier	Database
13990	Entrez Gene
12914	Entrez Gene
208727	Entrez Gene
269275	Entrez Gene
11479	Entrez Gene
17127	Entrez Gene
20591	Entrez Gene
73693	Entrez Gene
19698	Entrez Gene
19697	Entrez Gene
19696	Entrez Gene
17480	Entrez Gene
22018	Entrez Gene
108155	Entrez Gene
65969	Entrez Gene
13211	Entrez Gene
18451	Entrez Gene
94093	Entrez Gene
13194	Entrez Gene
51810	Entrez Gene
269424	Entrez Gene
22772	Entrez Gene
209446	Entrez Gene
17342	Entrez Gene
21425	Entrez Gene
13017	Entrez Gene
12912	Entrez Gene
11909	Entrez Gene
104248	Entrez Gene
15260	Entrez Gene
93762	Entrez Gene
20833	Entrez Gene
20689	Entrez Gene
107932	Entrez Gene
15078	Entrez Gene
22589	Entrez Gene
93960	Entrez Gene
51792	Entrez Gene
18291	Entrez Gene
14566	Entrez Gene
17765	Entrez Gene
19646	Entrez Gene
245688	Entrez Gene
52615	Entrez Gene
16468	Entrez Gene
18158	Entrez Gene
18160	Entrez Gene
69719	Entrez Gene
13347	Entrez Gene
14056	Entrez Gene
14055	Entrez Gene
13626	Entrez Gene
233726	Entrez Gene
16211	Entrez Gene
57258	Entrez Gene
226432	Entrez Gene
20687	Entrez Gene
21750	Entrez Gene
15111	Entrez Gene
12934	Entrez Gene
216850	Entrez Gene
381022	Entrez Gene
22289	Entrez Gene
17260	Entrez Gene
17261	Entrez Gene
17927	Entrez Gene
75788	Entrez Gene
20393	Entrez Gene
83814	Entrez Gene
15251	Entrez Gene
16598	Entrez Gene
15201	Entrez Gene
13433	Entrez Gene
22083	Entrez Gene
235497	Entrez Gene
214498	Entrez Gene
66317	Entrez Gene
74766	Entrez Gene
19651	Entrez Gene
12566	Entrez Gene
76893	Entrez Gene
17975	Entrez Gene
17089	Entrez Gene
21848	Entrez Gene
22160	Entrez Gene
332221	Entrez Gene
67155	Entrez Gene
18854	Entrez Gene
99982	Entrez Gene
234366	Entrez Gene
20586	Entrez Gene
229542	Entrez Gene
66923	Entrez Gene
433759	Entrez Gene
116870	Entrez Gene
20466	Entrez Gene
12224	Entrez Gene
23942	Entrez Gene
76007	Entrez Gene
21886	Entrez Gene
13016	Entrez Gene
21752	Entrez Gene
12578	Entrez Gene
17246	Entrez Gene
12575	Entrez Gene
20841	Entrez Gene
11819	Entrez Gene
13865	Entrez Gene
20683	Entrez Gene
213742	Entrez Gene
14175	Entrez Gene
81879	Entrez Gene
18109	Entrez Gene
12168	Entrez Gene
17128	Entrez Gene
18128	Entrez Gene
20130	Entrez Gene
22418	Entrez Gene
17344	Entrez Gene
19164	Entrez Gene
13380	Entrez Gene
12622	Entrez Gene
18033	Entrez Gene
13590	Entrez Gene
19280	Entrez Gene
50764	Entrez Gene
13445	Entrez Gene
17191	Entrez Gene
17192	Entrez Gene
75560	Entrez Gene
22196	Entrez Gene
59024	Entrez Gene
15182	Entrez Gene
21849	Entrez Gene
22632	Entrez Gene
56380	Entrez Gene
19821	Entrez Gene
26424	Entrez Gene
21414	Entrez Gene
104383	Entrez Gene
22592	Entrez Gene
13197	Entrez Gene
328572	Entrez Gene
51869	Entrez Gene
226442	Entrez Gene
66830	Entrez Gene
11614	Entrez Gene
22764	Entrez Gene
17865	Entrez Gene
16600	Entrez Gene
19712	Entrez Gene
59016	Entrez Gene
15161	Entrez Gene
18999	Entrez Gene
26417	Entrez Gene
21432	Entrez Gene
21386	Entrez Gene
15901	Entrez Gene
14465	Entrez Gene
18986	Entrez Gene
14388	Entrez Gene
16451	Entrez Gene
216233	Entrez Gene
16195	Entrez Gene
16880	Entrez Gene
16878	Entrez Gene
11789	Entrez Gene
12005	Entrez Gene
16842	Entrez Gene
22773	Entrez Gene
56717	Entrez Gene
11651	Entrez Gene
17869	Entrez Gene
12591	Entrez Gene
12443	Entrez Gene
20848	Entrez Gene
99377	Entrez Gene
15221	Entrez Gene
71950	Entrez Gene
20674	Entrez Gene
22059	Entrez Gene
353283	Entrez Gene
19211	Entrez Gene
18707	Entrez Gene
26395	Entrez Gene
110157	Entrez Gene
15461	Entrez Gene
17126	Entrez Gene
21812	Entrez Gene
18119	Entrez Gene
14182	Entrez Gene
12159	Entrez Gene
11477	Entrez Gene
17125	Entrez Gene
12550	Entrez Gene
12387	Entrez Gene
21415	Entrez Gene
16412	Entrez Gene
56637	Entrez Gene
13542	Entrez Gene
14362	Entrez Gene
16973	Entrez Gene
22416	Entrez Gene
19247	Entrez Gene
14784	Entrez Gene
22702	Entrez Gene
