Identifier	Database
101543	Entrez Gene
16403	Entrez Gene
16398	Entrez Gene
72674	Entrez Gene
56513	Entrez Gene
16400	Entrez Gene
18008	Entrez Gene
12822	Entrez Gene
16776	Entrez Gene
24117	Entrez Gene
18571	Entrez Gene
22325	Entrez Gene
14219	Entrez Gene
18750	Entrez Gene
60595	Entrez Gene
14107	Entrez Gene
14066	Entrez Gene
13052	Entrez Gene
18759	Entrez Gene
18754	Entrez Gene
268902	Entrez Gene
224796	Entrez Gene
19876	Entrez Gene
56177	Entrez Gene
16202	Entrez Gene
18186	Entrez Gene
18451	Entrez Gene
13992	Entrez Gene
232906	Entrez Gene
20892	Entrez Gene
241324	Entrez Gene
16658	Entrez Gene
18260	Entrez Gene
16480	Entrez Gene
54401	Entrez Gene
19277	Entrez Gene
14784	Entrez Gene
170643	Entrez Gene
16337	Entrez Gene
64929	Entrez Gene
12560	Entrez Gene
330222	Entrez Gene
108100	Entrez Gene
15251	Entrez Gene
19261	Entrez Gene
74440	Entrez Gene
17127	Entrez Gene
17126	Entrez Gene
17131	Entrez Gene
14726	Entrez Gene
17130	Entrez Gene
12577	Entrez Gene
12575	Entrez Gene
12576	Entrez Gene
21423	Entrez Gene
68404	Entrez Gene
12695	Entrez Gene
66713	Entrez Gene
74117	Entrez Gene
19225	Entrez Gene
14132	Entrez Gene
16779	Entrez Gene
18706	Entrez Gene
16410	Entrez Gene
22323	Entrez Gene
18504	Entrez Gene
22408	Entrez Gene
11608	Entrez Gene
11607	Entrez Gene
12345	Entrez Gene
14042	Entrez Gene
192662	Entrez Gene
22612	Entrez Gene
56378	Entrez Gene
76709	Entrez Gene
12568	Entrez Gene
226519	Entrez Gene
30957	Entrez Gene
75788	Entrez Gene
68089	Entrez Gene
67771	Entrez Gene
192897	Entrez Gene
16419	Entrez Gene
11848	Entrez Gene
16416	Entrez Gene
18707	Entrez Gene
16412	Entrez Gene
74769	Entrez Gene
12476	Entrez Gene
22288	Entrez Gene
231470	Entrez Gene
22223	Entrez Gene
22088	Entrez Gene
170484	Entrez Gene
26360	Entrez Gene
54631	Entrez Gene
30924	Entrez Gene
57875	Entrez Gene
22337	Entrez Gene
18747	Entrez Gene
18749	Entrez Gene
13543	Entrez Gene
16825	Entrez Gene
11461	Entrez Gene
22350	Entrez Gene
17295	Entrez Gene
12927	Entrez Gene
72333	Entrez Gene
12387	Entrez Gene
22330	Entrez Gene
74055	Entrez Gene
12578	Entrez Gene
93742	Entrez Gene
54380	Entrez Gene
17974	Entrez Gene
12385	Entrez Gene
12386	Entrez Gene
216033	Entrez Gene
17973	Entrez Gene
16917	Entrez Gene
93840	Entrez Gene
229658	Entrez Gene
17886	Entrez Gene
11651	Entrez Gene
13199	Entrez Gene
20533	Entrez Gene
20416	Entrez Gene
18803	Entrez Gene
109880	Entrez Gene
226352	Entrez Gene
13641	Entrez Gene
18764	Entrez Gene
18021	Entrez Gene
16852	Entrez Gene
103967	Entrez Gene
56715	Entrez Gene
22346	Entrez Gene
12402	Entrez Gene
14924	Entrez Gene
27205	Entrez Gene
50791	Entrez Gene
18693	Entrez Gene
105782	Entrez Gene
13429	Entrez Gene
13430	Entrez Gene
67393	Entrez Gene
12015	Entrez Gene
19339	Entrez Gene
14083	Entrez Gene
12340	Entrez Gene
12343	Entrez Gene
246179	Entrez Gene
19341	Entrez Gene
19342	Entrez Gene
21345	Entrez Gene
22068	Entrez Gene
19164	Entrez Gene
19165	Entrez Gene
