Identifier	Database
20133	Entrez Gene
20135	Entrez Gene
382985	Entrez Gene
C12248	KEGG Compound
C11821	KEGG Compound
22436	Entrez Gene
K14977	Kegg ortholog
K02083	Kegg ortholog
C02091	KEGG Compound
C00802	KEGG Compound
C00169	KEGG Compound
C00014	KEGG Compound
C00011	KEGG Compound
K00073	Kegg ortholog
path:mmu00250	KEGG Genes
path:mmu00030	KEGG Genes
path:mmu00630	KEGG Genes
path:mmu00730	KEGG Genes
path:mmu00340	KEGG Genes
path:mmu00260	KEGG Genes
110639	Entrez Gene
19139	Entrez Gene
328099	Entrez Gene
75456	Entrez Gene
231327	Entrez Gene
14450	Entrez Gene
14450	Entrez Gene
14450	Entrez Gene
108147	Entrez Gene
11564	Entrez Gene
67054	Entrez Gene
67054	Entrez Gene
K11176	Kegg ortholog
71701	Entrez Gene
110385	Entrez Gene
18573	Entrez Gene
18574	Entrez Gene
18575	Entrez Gene
18576	Entrez Gene
18577	Entrez Gene
18578	Entrez Gene
18583	Entrez Gene
18584	Entrez Gene
207728	Entrez Gene
218461	Entrez Gene
238871	Entrez Gene
23984	Entrez Gene
241489	Entrez Gene
29863	Entrez Gene
54611	Entrez Gene
104110	Entrez Gene
104111	Entrez Gene
11512	Entrez Gene
11513	Entrez Gene
11514	Entrez Gene
11515	Entrez Gene
210044	Entrez Gene
224129	Entrez Gene
271639	Entrez Gene
432530	Entrez Gene
K00985	Kegg ortholog
100043714	Entrez Gene
100046796	Entrez Gene
20016	Entrez Gene
20017	Entrez Gene
20018	Entrez Gene
20019	Entrez Gene
20020	Entrez Gene
20021	Entrez Gene
20022	Entrez Gene
218832	Entrez Gene
231329	Entrez Gene
245841	Entrez Gene
26939	Entrez Gene
625405	Entrez Gene
64424	Entrez Gene
66136	Entrez Gene
66420	Entrez Gene
66491	Entrez Gene
67005	Entrez Gene
67065	Entrez Gene
67486	Entrez Gene
67710	Entrez Gene
69241	Entrez Gene
69833	Entrez Gene
69870	Entrez Gene
69920	Entrez Gene
70408	Entrez Gene
70428	Entrez Gene
74414	Entrez Gene
78929	Entrez Gene
K00527	Kegg ortholog
18968	Entrez Gene
18969	Entrez Gene
18971	Entrez Gene
18972	Entrez Gene
18973	Entrez Gene
18974	Entrez Gene
19075	Entrez Gene
19076	Entrez Gene
59001	Entrez Gene
66979	Entrez Gene
67967	Entrez Gene
69745	Entrez Gene
12495	Entrez Gene
215446	Entrez Gene
72090	Entrez Gene
12496	Entrez Gene
K01553	Kegg ortholog
171567	Entrez Gene
18102	Entrez Gene
18103	Entrez Gene
54369	Entrez Gene
56520	Entrez Gene
75533	Entrez Gene
79059	Entrez Gene
171567	Entrez Gene
18102	Entrez Gene
18103	Entrez Gene
54369	Entrez Gene
56520	Entrez Gene
75533	Entrez Gene
79059	Entrez Gene
20133	Entrez Gene
20135	Entrez Gene
382985	Entrez Gene
12495	Entrez Gene
215446	Entrez Gene
72090	Entrez Gene
11636	Entrez Gene
11637	Entrez Gene
11639	Entrez Gene
229949	Entrez Gene
78801	Entrez Gene
11564	Entrez Gene
11565	Entrez Gene
11566	Entrez Gene
109674	Entrez Gene
11717	Entrez Gene
229665	Entrez Gene
103850	Entrez Gene
107569	Entrez Gene
