Identifier	Database
625018	Entrez Gene
18033	Entrez Gene
19712	Entrez Gene
18992	Entrez Gene
15550	Entrez Gene
19712	Entrez Gene
260298	Entrez Gene
11438	Entrez Gene
22608	Entrez Gene
11835	Entrez Gene
18088	Entrez Gene
21990	Entrez Gene
108015	Entrez Gene
HMDB00259	HMDB
11516	Entrez Gene
54006	Entrez Gene
20191	Entrez Gene
15208	Entrez Gene
17172	Entrez Gene
217946	Entrez Gene
19017	Entrez Gene
18044	Entrez Gene
15567	Entrez Gene
16535	Entrez Gene
16153	Entrez Gene
17161	Entrez Gene
12391	Entrez Gene
21990	Entrez Gene
12912	Entrez Gene
14235	Entrez Gene
14462	Entrez Gene
15550	Entrez Gene
216343	Entrez Gene
14461	Entrez Gene
18935	Entrez Gene
216343	Entrez Gene
12391	Entrez Gene
13195	Entrez Gene
12268	Entrez Gene
18095	Entrez Gene
22355	Entrez Gene
20683	Entrez Gene
HMDB00259	HMDB
17161	Entrez Gene
15205	Entrez Gene
22354	Entrez Gene
20191	Entrez Gene
212139	Entrez Gene
20271	Entrez Gene
11517	Entrez Gene
20683	Entrez Gene
16917	Entrez Gene
18992	Entrez Gene
HMDB00929	HMDB
14815	Entrez Gene
15510	Entrez Gene
260298	Entrez Gene
13195	Entrez Gene
21926	Entrez Gene
170826	Entrez Gene
11516	Entrez Gene
19712	Entrez Gene
HMDB00472	HMDB
11444	Entrez Gene
13018	Entrez Gene
HMDB01934	HMDB
16535	Entrez Gene
328572	Entrez Gene
14695	Entrez Gene
16511	Entrez Gene
20271	Entrez Gene
19883	Entrez Gene
11998	Entrez Gene
16193	Entrez Gene
16194	Entrez Gene
HMDB00259	HMDB
15558	Entrez Gene
11859	Entrez Gene
19713	Entrez Gene
230857	Entrez Gene
27140	Entrez Gene
13798	Entrez Gene
