Identifier	Database
HMDB05082	HMDB
HMDB00696	HMDB
HMDB00157	HMDB
HMDB00657	HMDB
20363	Entrez Gene
HMDB04659	HMDB
HMDB01337	HMDB
HMDB01303	HMDB
HMDB01999	HMDB
22436	Entrez Gene
HMDB01388	HMDB
HMDB01893	HMDB
HMDB00044	HMDB
Reactive Oxygen Species	Wikipedia
HMDB01198	HMDB
HMDB11134	HMDB
HMDB01043	HMDB
HMDB01976	HMDB
HMDB00125	HMDB
HMDB01381	HMDB
75512	Entrez Gene
342184	Entrez Gene
HMDB03080	HMDB
HMDB03125	HMDB
HMDB00574	HMDB
ENSMUSG00000031584	Ensembl
HMDB04385	HMDB
HMDB01043	HMDB
HMDB00217	HMDB
HMDB01403	HMDB
HMDB04385	HMDB
HMDB02174	HMDB
HMDB04659	HMDB
HMDB00657	HMDB
51734	Entrez Gene
HMDB00121	HMDB
HMDB01491	HMDB
64292	Entrez Gene
HMDB01085	HMDB
HMDB00289	HMDB
HMDB03235	HMDB
HMDB02183	HMDB
HMDB01406	HMDB
HMDB01220	HMDB
HMDB01220	HMDB
HMDB01139	HMDB
HMDB00121	HMDB
HMDB01491	HMDB
HMDB01335	HMDB
HMDB02664	HMDB
HMDB01451	HMDB
HMDB00157	HMDB
HMDB00292	HMDB
HMDB00221	HMDB
HMDB02183	HMDB
HMDB00692	HMDB
HMDB00656	HMDB
HMDB00673	HMDB
HMDB00574	HMDB
103711	Entrez Gene
HMDB00696	HMDB
HMDB11134	HMDB
HMDB00742	HMDB
HMDB00742	HMDB
HMDB01139	HMDB
0	Entrez Gene
HMDB01335	HMDB
HMDB02174	HMDB
11689	Entrez Gene
238505	Entrez Gene
HMDB00244	HMDB
HMDB00929	HMDB
HMDB01193	HMDB
HMDB01349	HMDB
HMDB03252	HMDB
HMDB01198	HMDB
HMDB01452	HMDB
HMDB01377	HMDB
HMDB01333	HMDB
HMDB01303	HMDB
HMDB03080	HMDB
HMDB06465	HMDB
HMDB00125	HMDB
6415	Entrez Gene
HMDB03178	HMDB
HMDB00289	HMDB
HMDB01452	HMDB
HMDB01349	HMDB
HMDB02005	HMDB
17769	Entrez Gene
7295	Entrez Gene
0	Entrez Gene
HMDB01976	HMDB
HMDB01388	HMDB
HMDB00221	HMDB
12359	Entrez Gene
98256	Entrez Gene
10587	Entrez Gene
HMDB02111	HMDB
HMDB01893	HMDB
HMDB00044	HMDB
HMDB01999	HMDB
HMDB00673	HMDB
HMDB02200	HMDB
19215	Entrez Gene
17709	Entrez Gene
76267	Entrez Gene
56473	Entrez Gene
HMDB01403	HMDB
HMDB01451	HMDB
HMDB02200	HMDB
HMDB01085	HMDB
80795	Entrez Gene
21391	Entrez Gene
HMDB00217	HMDB
HMDB00692	HMDB
17708	Entrez Gene
19223	Entrez Gene
HMDB01248	HMDB
625249	Entrez Gene
14778	Entrez Gene
14776	Entrez Gene
14775	Entrez Gene
7296	Entrez Gene
114112	Entrez Gene
