Identifier	Database
16412	Entrez Gene
109700	Entrez Gene
19229	Entrez Gene
19303	Entrez Gene
14083	Entrez Gene
20779	Entrez Gene
19211	Entrez Gene
19303	Entrez Gene
14083	Entrez Gene
20779	Entrez Gene
19229	Entrez Gene
218397	Entrez Gene
18706	Entrez Gene
14388	Entrez Gene
19247	Entrez Gene
14784	Entrez Gene
20848	Entrez Gene
20662	Entrez Gene
12929	Entrez Gene
12928	Entrez Gene
330662	Entrez Gene
107746	Entrez Gene
109905	Entrez Gene
215449	Entrez Gene
15461	Entrez Gene
26419	Entrez Gene
26411	Entrez Gene
13712	Entrez Gene
110157	Entrez Gene
26395	Entrez Gene
26396	Entrez Gene
26413	Entrez Gene
26417	Entrez Gene
16476	Entrez Gene
14281	Entrez Gene
18479	Entrez Gene
17295	Entrez Gene
15234	Entrez Gene
