Identifier	Database
ENSMUSG00000000058	Ensembl
13822	Entrez Gene
ENSMUSG00000024558	Ensembl
12558	Entrez Gene
66354	Entrez Gene
P27546	Uniprot-TrEMBL
A2ASQ1	Uniprot-TrEMBL
65945	Entrez Gene
16522	Entrez Gene
HMDB10032	HMDB
ENSMUSG00000064302	Ensembl
16531	Entrez Gene
ENSMUSG00000031012	Ensembl
26562	Entrez Gene
14406	Entrez Gene
26420	Entrez Gene
67972	Entrez Gene
ENSMUSG00000039943	Ensembl
110351	Entrez Gene
13852	Entrez Gene
ENSMUSG00000021820	Ensembl
54725	Entrez Gene
18007	Entrez Gene
ENSMUSG00000000058	Ensembl
ENSMUSG00000031012	Ensembl
268566	Entrez Gene
P06796	Uniprot-TrEMBL
ENSMUSG00000028519	Ensembl
ENSMUSG00000031996	Ensembl
ENSMUSG00000016346	Ensembl
20911	Entrez Gene
269587	Entrez Gene
13823	Entrez Gene
ENSMUSG00000030077	Ensembl
80883	Entrez Gene
57321	Entrez Gene
13640	Entrez Gene
14812	Entrez Gene
14810	Entrez Gene
ENSMUSG00000030077	Ensembl
12558	Entrez Gene
11735	Entrez Gene
ENSMUSG00000031012	Ensembl
ENSMUSG00000028519	Ensembl
14806	Entrez Gene
ENSMUSG00000031012	Ensembl
18762	Entrez Gene
242425	Entrez Gene
ENSMUSG00000039943	Ensembl
HMDB10032	HMDB
11735	Entrez Gene
11735	Entrez Gene
26420	Entrez Gene
269587	Entrez Gene
269587	Entrez Gene
14806	Entrez Gene
16531	Entrez Gene
18762	Entrez Gene
242425	Entrez Gene
268566	Entrez Gene
ENSMUSG00000039943	Ensembl
13821	Entrez Gene
94332	Entrez Gene
