Identifier	Database
17896	Entrez Gene
17906	Entrez Gene
17888	Entrez Gene
17885	Entrez Gene
11459	Entrez Gene
11464	Entrez Gene
21952	Entrez Gene
21956	Entrez Gene
59069	Entrez Gene
13405	Entrez Gene
22352	Entrez Gene
22004	Entrez Gene
21953	Entrez Gene
21954	Entrez Gene
21957	Entrez Gene
21955	Entrez Gene
21924	Entrez Gene
21925	Entrez Gene
17897	Entrez Gene
17901	Entrez Gene
17883	Entrez Gene
11474	Entrez Gene
11472	Entrez Gene
60595	Entrez Gene
21916	Entrez Gene
17996	Entrez Gene
17929	Entrez Gene
21393	Entrez Gene
22138	Entrez Gene
13346	Entrez Gene
326618	Entrez Gene
22003	Entrez Gene
17868	Entrez Gene
233199	Entrez Gene
ENSMUSG00000020061	Ensembl
11475	Entrez Gene
11465	Entrez Gene
98932	Entrez Gene
17930	Entrez Gene
140781	Entrez Gene
17884	Entrez Gene
17879	Entrez Gene
12373	Entrez Gene
71912	Entrez Gene
66106	Entrez Gene
