Identifier	Database
16402	Entrez Gene
16403	Entrez Gene
16404	Entrez Gene
241226	Entrez Gene
16398	Entrez Gene
109700	Entrez Gene
16400	Entrez Gene
18008	Entrez Gene
21416	Entrez Gene
21415	Entrez Gene
14115	Entrez Gene
24117	Entrez Gene
18571	Entrez Gene
18750	Entrez Gene
547328	Entrez Gene
18759	Entrez Gene
17984	Entrez Gene
18754	Entrez Gene
18016	Entrez Gene
18753	Entrez Gene
14786	Entrez Gene
224796	Entrez Gene
328572	Entrez Gene
13386	Entrez Gene
12977	Entrez Gene
18762	Entrez Gene
56177	Entrez Gene
64652	Entrez Gene
384783	Entrez Gene
13388	Entrez Gene
16367	Entrez Gene
73542	Entrez Gene
54485	Entrez Gene
14784	Entrez Gene
16337	Entrez Gene
237459	Entrez Gene
330222	Entrez Gene
19127	Entrez Gene
226182	Entrez Gene
16197	Entrez Gene
18706	Entrez Gene
16410	Entrez Gene
16411	Entrez Gene
18049	Entrez Gene
80976	Entrez Gene
16348	Entrez Gene
11519	Entrez Gene
192662	Entrez Gene
22612	Entrez Gene
14463	Entrez Gene
56378	Entrez Gene
76709	Entrez Gene
140723	Entrez Gene
54377	Entrez Gene
227743	Entrez Gene
75788	Entrez Gene
66313	Entrez Gene
68089	Entrez Gene
67771	Entrez Gene
192897	Entrez Gene
11981	Entrez Gene
16419	Entrez Gene
30955	Entrez Gene
16416	Entrez Gene
18707	Entrez Gene
16412	Entrez Gene
74769	Entrez Gene
15481	Entrez Gene
22288	Entrez Gene
170484	Entrez Gene
54631	Entrez Gene
18747	Entrez Gene
18749	Entrez Gene
21687	Entrez Gene
11461	Entrez Gene
13860	Entrez Gene
22350	Entrez Gene
16728	Entrez Gene
68151	Entrez Gene
330914	Entrez Gene
74055	Entrez Gene
17974	Entrez Gene
26419	Entrez Gene
26420	Entrez Gene
17973	Entrez Gene
26413	Entrez Gene
26417	Entrez Gene
11651	Entrez Gene
53885	Entrez Gene
23797	Entrez Gene
234779	Entrez Gene
18803	Entrez Gene
20391	Entrez Gene
17475	Entrez Gene
24052	Entrez Gene
226352	Entrez Gene
18021	Entrez Gene
107221	Entrez Gene
73181	Entrez Gene
56715	Entrez Gene
244431	Entrez Gene
18693	Entrez Gene
12017	Entrez Gene
12015	Entrez Gene
12028	Entrez Gene
14083	Entrez Gene
14102	Entrez Gene
24136	Entrez Gene
19164	Entrez Gene
19165	Entrez Gene
94187	Entrez Gene
14254	Entrez Gene
21834	Entrez Gene
192119	Entrez Gene
380794	Entrez Gene
21833	Entrez Gene
56320	Entrez Gene
104027	Entrez Gene
16332	Entrez Gene
17184	Entrez Gene
19219	Entrez Gene
17926	Entrez Gene
59035	Entrez Gene
18596	Entrez Gene
676175	Entrez Gene
20715	Entrez Gene
224105	Entrez Gene
18481	Entrez Gene
211652	Entrez Gene
18479	Entrez Gene
14406	Entrez Gene
20505	Entrez Gene
15530	Entrez Gene
228536	Entrez Gene
19211	Entrez Gene
51792	Entrez Gene
28019	Entrez Gene
55948	Entrez Gene
16009	Entrez Gene
16008	Entrez Gene
14397	Entrez Gene
13082	Entrez Gene
218397	Entrez Gene
70435	Entrez Gene
631286	Entrez Gene
15376	Entrez Gene
21894	Entrez Gene
70549	Entrez Gene
