Identifier	Database
ENSMUSG00000036390	Ensembl
ENSMUSG00000024778	Ensembl
ENSMUSG00000024521	Ensembl
ENSMUSG00000022105	Ensembl
ENSMUSG00000032409	Ensembl
ENSMUSG00000025358	Ensembl
ENSMUSG00000023067	Ensembl
ENSMUSG00000034023	Ensembl
ENSMUSG00000006728	Ensembl
ENSMUSG00000028914	Ensembl
ENSMUSG00000029521	Ensembl
ENSMUSG00000041133	Ensembl
ENSMUSG00000032477	Ensembl
ENSMUSG00000047281	Ensembl
ENSMUSG00000024824	Ensembl
ENSMUSG00000034218	Ensembl
ENSMUSG00000021453	Ensembl
19687	Entrez Gene
2424	Chemspider
ENSMUSG00000070348	Ensembl
ENSMUSG00000028884	Ensembl
ENSMUSG00000003031	Ensembl
ENSMUSG00000020694	Ensembl
ENSMUSG00000062813	Ensembl
ENSMUSG00000041431	Ensembl
ENSMUSG00000015312	Ensembl
ENSMUSG00000038332	Ensembl
ENSMUSG00000004446	Ensembl
ENSMUSG00000027490	Ensembl
ENSMUSG00000022105	Ensembl
ENSMUSG00000040274	Ensembl
ENSMUSG00000027490	Ensembl
ENSMUSG00000032113	Ensembl
ENSMUSG00000041997	Ensembl
ENSMUSG00000059552	Ensembl
16469	ChEBI
ENSMUSG00000051592	Ensembl
ENSMUSG00000028212	Ensembl
ENSMUSG00000003873	Ensembl
ENSMUSG00000019942	Ensembl
ENSMUSG00000044201	Ensembl
ENSMUSG00000002068	Ensembl
ENSMUSG00000026029	Ensembl
ENSMUSG00000021635	Ensembl
ENSMUSG00000000184	Ensembl
ENSMUSG00000022292	Ensembl
ENSMUSG00000002109	Ensembl
ENSMUSG00000020380	Ensembl
ENSMUSG00000015312	Ensembl
235610	Entrez Gene
ENSMUSG00000034165	Ensembl
ENSMUSG00000028969	Ensembl
27354	Entrez Gene
ENSMUSG00000036390	Ensembl
ENSMUSG00000017146	Ensembl
ENSMUSG00000031628	Ensembl
17535	Entrez Gene
ENSMUSG00000076430	Ensembl
ENSMUSG00000021453	Ensembl
ENSMUSG00000049932	Ensembl
12912	Entrez Gene
57913	Entrez Gene
ENSMUSG00000022074	Ensembl
ENSMUSG00000019979	Ensembl
ENSMUSG00000036986	Ensembl
ENSMUSG00000032218	Ensembl
ENSMUSG00000022248	Ensembl
ENSMUSG00000026842	Ensembl
ENSMUSG00000027323	Ensembl
ENSMUSG00000030166	Ensembl
65225	Chemspider
ENSMUSG00000065551	Ensembl
ENSMUSG00000065574	Ensembl
ENSMUSG00000065442	Ensembl
ENSMUSG00000065508	Ensembl
ENSMUSG00000076066	Ensembl
ENSG00000208006	Ensembl
ENSG00000198983	Ensembl
ENSG00000198981	Ensembl
ENSG00000207929	Ensembl
ENSG00000199097	Ensembl
ENSG00000207870	Ensembl
ENSG00000207725	Ensembl
ENSG00000207759	Ensembl
ENSG00000208036	Ensembl
ENSG00000207745	Ensembl
ENSG00000202566	Ensembl
ENSG00000198983	Ensembl
ENSG00000199004	Ensembl
ENSG00000207718	Ensembl
ENSG00000208006	Ensembl
ENSMUSG00000065541	Ensembl
ENSG00000207700	Ensembl
ENSG00000207811	Ensembl
ENSG00000207748	Ensembl
ENSG00000207966	Ensembl
ENSG00000208006	Ensembl
ENSG00000207728	Ensembl
17220	Entrez Gene
ENSMUSG00000020184	Ensembl
ENSMUSG00000065402	Ensembl
ENSMUSG00000020326	Ensembl
WP179	WikiPathways
WP615	WikiPathways
WP254	WikiPathways
